pulse_us,theta_up_deg,theta_dn_deg
1460,-3.8966360238430053,-3.3860088820099388
1463,-3.871548588008697,-3.3256319626148683
1466,-3.725209477978311,-2.9382880576940806
1469,-3.7139672249860314,-2.732591787499187
1472,-3.0786162059255933,-2.61590146117289
1475,-3.5215269161617018,-2.3602824676661442
1478,-2.6032520391660565,-2.2219843334960854
1481,-2.5812507645767333,-1.9013659962571756
1484,-2.444593716316892,-1.8174073272422162
1487,-2.397904850808069,-1.7425018491491164
1490,-1.8220795521935969,-1.4389345306039922
1493,-1.8508034821748596,-1.310632196277302
1496,-1.8510646945608296,-1.282298180022117
1499,-1.7405525219386897,-1.0727511352604355
1502,-1.6899868738620416,-0.8490858377297766
1505,-1.0450946624315425,-0.7335038621716821
1508,-1.0944888619550894,-0.6267284290154062
1511,-1.127124633304075,-0.3874314434946486
1514,-0.588405158143648,-0.265386141095822
1517,-0.5969393667025364,-0.01230189209852938
1520,-0.5798155665543928,0.07439217180947309
1523,0.06929776590712805,0.8017745992278109
1526,0.041018920194075575,0.5449349218634465
1529,0.09009749739769632,0.7240564209848108
1532,0.13058679024481962,0.9232299624953189
1535,0.3559416862431307,1.0217550361289047
1538,0.7149722169425935,1.2021821023248638
1541,0.7391887559060628,1.2941089594135213
1544,0.9213012578566915,1.4668059999554293
1547,1.0964444516234118,1.6258710451873029
1550,1.140796693673859,1.6855171537613887
1553,1.17844240166572,1.8479274801987942
1556,1.2978962615276577,2.0870659255927237
1559,1.9154956267873393,2.2740340558946484
1562,1.8767923873661778,2.4114808292785583
1565,2.2494142698663024,2.566844048195504
1568,2.238067291359128,2.819840268508998
1571,2.700792232120582,2.9510881841420455
1574,2.717671981030494,2.9856713307946787
1577,2.9061492635279307,2.963160343423118
1580,2.9451909865079635,2.948501829497992
