t_rel_s,t_epoch,phase,sweep_idx,a_cmd_us,b_cmd_us,servo1_raw,servo2_raw,voltage_v,current_a,power_w,Fx,Fy,Fz,Tx,Ty,Tz,thrust_N,torque_Nm,rpm
0.0,1784822652.53012,,,,,,,,,,0.63259,-0.33393,0.16195,0.02898,0.04073,-0.00449,-0.16195,-0.00449,16.0
0.02,1784822652.55012,,,,,,,,,,0.00945,-0.00168,-0.01424,-0.00097,0.00064,-0.00644,0.01424,-0.00644,16.0
0.04,1784822652.57012,,,,,,,,,,-0.63172,0.36773,-0.22094,-0.02274,-0.05386,0.00051,0.22094,0.00051,16.0
0.06,1784822652.59012,,,,,,,,,,-0.29633,0.1351,-0.04256,-0.00661,-0.02471,-0.00148,0.04256,-0.00148,16.0
0.08,1784822652.61012,,,,,,,,,,0.42823,-0.36265,0.19704,0.03183,0.02856,-0.00149,-0.19704,-0.00149,16.0
0.1,1784822652.63012,,,,,,,,,,-0.5781,0.34551,0.03776,-0.02362,-0.03949,-0.00249,-0.03776,-0.00249,16.0
0.12,1784822652.65012,,,,,,,,,,0.68675,-0.08611,0.16285,0.01305,0.04957,-0.00346,-0.16285,-0.00346,16.0
0.14,1784822652.67012,,,,,,,,,,-0.07247,0.04659,-0.02983,-0.00585,-0.01686,0.00052,0.02983,0.00052,16.0
0.16,1784822652.69012,,,,,,,,,,0.12823,0.12987,-0.00284,-0.00688,0.01161,0.00051,0.00284,0.00051,16.0
0.18,1784822652.71012,,,,,,,,,,-0.54614,0.25843,-0.1422,-0.01285,-0.04862,-0.00146,0.1422,-0.00146,16.0
0.2,1784822652.73012,,,,,,,,,,0.38155,0.14661,0.15619,-0.01474,0.01988,0.00247,-0.15619,0.00247,16.0
0.22,1784822652.75012,,,,,,,,,,0.08824,0.06568,-0.14596,0.00111,0.00489,-0.00544,0.14596,-0.00544,16.0
0.24,1784822652.77012,,,,,,,,,,-0.08619,0.16114,-0.14012,-0.00679,-0.0088,0.00051,0.14012,0.00051,16.0
0.26,1784822652.79012,,,,,,,,,,0.33318,0.00118,-0.1601,0.00116,0.0289,-0.00047,0.1601,-0.00047,16.0
0.28,1784822652.81012,,,,,,,,,,0.3112,0.01399,-0.00931,0.00121,0.01786,0.00147,0.00931,0.00147,16.0
0.3,1784822652.83012,,,,,,,,,,-0.04153,-0.00408,-0.06239,0.01007,-0.00015,-0.00644,0.06239,-0.00644,16.0
0.32,1784822652.85012,,,,,,,,,,-0.17947,0.13267,-0.12638,-0.0048,-0.02002,-0.0005,0.12638,-0.0005,16.0
0.34,1784822652.87012,,,,,,,,,,-0.13867,0.06032,-0.02128,0.00219,-0.01785,-0.00346,0.02128,-0.00346,16.0
0.36,1784822652.89012,,,,,,,,,,0.20033,-0.06978,0.09912,0.00714,0.01289,-0.00048,-0.09912,-0.00048,16.0
0.38,1784822652.91012,,,,,,,,,,0.03692,-0.0482,0.1184,0.00408,-0.00014,-0.00049,-0.1184,-0.00049,16.0
0.4,1784822652.93012,,,,,,,,,,-0.19295,0.23625,0.01801,-0.00889,-0.01891,-0.00246,-0.01801,-0.00246,16.0
0.42,1784822652.95012,,,,,,,,,,0.09874,0.26054,0.01966,-0.01781,0.00193,0.00151,-0.01966,0.00151,16.0
0.44,1784822652.97012,,,,,,,,,,0.00357,0.168,-0.03798,-0.0129,-0.00508,0.0005,0.03798,0.0005,16.0
0.46,1784822652.99012,,,,,,,,,,-0.11638,0.31559,-0.03365,-0.02264,-0.01385,-0.00247,0.03365,-0.00247,16.0
0.48,1784822653.01012,,,,,,,,,,0.26748,-0.10187,0.02466,0.01101,0.01658,-0.00148,-0.02466,-0.00148,16.0
0.5,1784822653.03012,,,,,,,,,,-0.53449,0.23722,-0.03114,-0.01479,-0.0476,-0.00149,0.03114,-0.00149,16.0
0.52,1784822653.05012,,,,,,,,,,0.33841,0.08966,0.1118,-0.00577,0.0248,-0.00347,-0.1118,-0.00347,16.0
0.54,1784822653.07012,,,,,,,,,,0.02048,0.01677,-0.0897,0.00508,-0.00405,-0.00146,0.0897,-0.00146,16.0
0.56,1784822653.09012,,,,,,,,,,-0.117,0.12883,-0.0386,-0.00777,-0.00697,0.00148,0.0386,0.00148,16.0
0.58,1784822653.11012,,,,,,,,,,0.00096,0.08456,0.02971,0.00308,0.00295,-0.00444,-0.02971,-0.00444,16.0
0.6,1784822653.13012,,,,,,,,,,0.11317,0.16021,0.14748,-0.00976,-0.00091,0.0015,-0.14748,0.0015,16.0
0.62,1784822653.15012,,,,,,,,,,0.25652,0.0094,0.05977,0.00328,0.01884,-0.0025,-0.05977,-0.0025,16.0
0.64,1784822653.17012,,,,,,,,,,-0.04145,-0.27416,-0.14509,0.02403,-0.003,-0.00547,0.14509,-0.00547,16.0
0.66,1784822653.19012,,,,,,,,,,0.00015,0.01924,0.00756,0.00207,0.00185,-0.00346,-0.00756,-0.00346,16.0
0.68,1784822653.21012,,,,,,,,,,-0.19021,0.20832,0.1009,-0.01268,-0.01785,0.00049,-0.1009,0.00049,16.0
0.7,1784822653.23012,,,,,,,,,,0.22441,-0.08988,-0.08295,0.01408,0.01175,-0.00448,0.08295,-0.00448,16.0
