run_dir,t_start_epoch,thrust_n,thrust_n_sem,torque_nm,voltage_v,voltage_v_sem,current_a,order
raw/2026-07-31\A1850_B1850_TESTS\A1850_B1850_2026-07-31_033406,1785436446,13.774166549878963,0.012046453424653169,0.011696819127702004,10.87745175633615,0.0013098197838457529,23.087714539795467,1
raw/2026-07-31\A1850_B1850_TESTS\A1850_B1850_2026-07-31_033649,1785436609,13.424565145390071,0.011567977248140746,0.009989379432624035,10.771509559804358,0.001289578670379378,22.6988528234771,2
raw/2026-07-31\A1850_B1850_TESTS\A1850_B1850_2026-07-31_034148,1785436908,13.351205326241134,0.010980918334892871,0.008349418439716236,10.679535793686082,0.0012446688189290311,22.372574477545577,3
raw/2026-07-31\A1850_B1850_TESTS\A1850_B1850_2026-07-31_034551,1785437151,13.226710333333333,0.010275722721173027,0.008296379432624035,10.615959982214319,0.00124418348470853,22.163597154290795,4
raw/2026-07-31\A1850_B1850_TESTS\A1850_B1850_2026-07-31_034904,1785437344,13.0290191372574,0.009815479591633883,0.008224043933409702,10.555687416629613,0.0012471346097541714,21.999217429968873,5
raw/2026-07-31\A1850_B1850_TESTS\A1850_B1850_2026-07-31_035309,1785437589,12.909467939716311,0.009706309834248817,0.008616698581560204,10.447400444444444,0.0013772195177351866,21.63532,6
raw/2026-07-31\A1850_B1850_TESTS\A1850_B1850_2026-07-31_035630,1785437790,11.720932958550982,0.016250025547465453,0.007103274833312047,9.866279679857715,0.0077310456481432515,19.650364606491774,7
