phase,a_cmd_us,b_cmd_us,n,t_start_rel,thrust_n_mean,thrust_n_sem,torque_nm_mean,torque_nm_sem,voltage_v_mean,voltage_v_sem,current_a_mean,current_a_sem,run_dir
A1000_B1000,1000,1000,125,0.0,0.004420000000000099,0.007853539198061204,0.0002819999999999496,0.00023890502904548504,11.94066935483871,0.0015774739446092335,0.0,0.0,raw/2026-07-31\A1000_B1000-2000_2026-07-31_015904
A1000_B1100,1000,1100,123,0.0,0.4242792520325204,0.008619227236167192,0.007264634146341363,0.00022532184964638404,11.929806451612903,0.00183893396564333,0.0,0.0,raw/2026-07-31\A1000_B1000-2000_2026-07-31_015904
A1000_B1200,1000,1200,126,0.0,1.2526871111111109,0.007153322879522138,0.020334126984126885,0.00027848436210044594,11.902439999999999,0.0027929265492807787,0.2388,0.004464338985857274,raw/2026-07-31\A1000_B1000-2000_2026-07-31_015904
A1000_B1300,1000,1300,125,0.0,2.0930199999999997,0.014509250904386884,0.03387399999999989,0.00022243926318537294,11.873031746031746,0.002548823233185016,1.1648412698412698,0.005572875496100421,raw/2026-07-31\A1000_B1000-2000_2026-07-31_015904
A1000_B1400,1000,1400,126,0.0,2.9168537777777774,0.00721432339732069,0.047484920634920554,0.00025438457939765883,11.823869918699184,0.002792932936930232,2.2691056910569096,0.0058651241983160626,raw/2026-07-31\A1000_B1000-2000_2026-07-31_015904
A1000_B1500,1000,1500,126,0.0,3.8698220317460317,0.012708112327235803,0.06158809523809513,0.00034164468155581477,11.778168,0.003380928217650182,3.5552,0.006595795337109258,raw/2026-07-31\A1000_B1000-2000_2026-07-31_015904
A1000_B1600,1000,1600,123,0.0,4.8850597398373985,0.010771269952799737,0.07899634146341451,0.00029493998441401567,11.708464000000001,0.003196359703606384,5.12632,0.0076878924499878785,raw/2026-07-31\A1000_B1000-2000_2026-07-31_015904
A1000_B1700,1000,1700,126,0.0,6.260131555555556,0.008636932917956287,0.10227857142857134,0.000254340996309341,11.610064516129032,0.004154957193619861,7.570967741935484,0.007664978338518608,raw/2026-07-31\A1000_B1000-2000_2026-07-31_015904
A1000_B1800,1000,1800,126,0.0,7.965845841269841,0.0381349436268368,0.12300079365079357,0.0004909423992744894,11.481629032258065,0.003700097952041147,10.828387096774192,0.008740801689331997,raw/2026-07-31\A1000_B1000-2000_2026-07-31_015904
A1000_B1900,1000,1900,127,0.0,9.694642929133856,0.04009041086953883,0.15171614173228343,0.00046275642367459106,11.335704,0.003420715337375336,14.844400000000002,0.008251998780354229,raw/2026-07-31\A1000_B1000-2000_2026-07-31_015904
A1000_B2000,1000,2000,124,0.0,11.289100193548387,0.03055565160004943,0.17663225806451605,0.0005413120024153846,11.177207999999998,0.0025509592376708116,18.994959999999995,0.006399217694122776,raw/2026-07-31\A1000_B1000-2000_2026-07-31_015904
A1100_B1000,1100,1000,126,0.0,0.34432793650793586,0.034756757472069875,-0.007508888888888898,0.0005193674079196434,11.944733870967744,0.001885737768882031,0.0010483870967741935,0.0007405187787789866,raw/2026-07-31\A1100_B1000-2000_2026-07-31_021029
A1100_B1100,1100,1100,123,0.0,0.736466341463414,0.03508614649668037,-0.000335447154471591,0.00048011509643497674,11.931403225806452,0.0021236346674368017,0.005806451612903225,0.0028423402623037938,raw/2026-07-31\A1100_B1000-2000_2026-07-31_021029
A1100_B1200,1100,1200,126,0.0,1.4807803174603171,0.04968227386713212,0.012514920634920535,0.0005014712544076958,11.90907258064516,0.0024046782521454026,0.6312096774193549,0.005961886928693875,raw/2026-07-31\A1100_B1000-2000_2026-07-31_021029
A1100_B1300,1100,1300,126,0.0,2.35613746031746,0.03597988221090093,0.025514920634920536,0.0006144661561814993,11.871209677419357,0.002039354292782585,1.5775806451612904,0.006026180933636528,raw/2026-07-31\A1100_B1000-2000_2026-07-31_021029
A1100_B1400,1100,1400,125,0.0,3.2246319999999993,0.021612823003799117,0.03905199999999989,0.0007042521542559835,11.828185483870968,0.003277196461168243,2.674274193548388,0.007267845349037719,raw/2026-07-31\A1100_B1000-2000_2026-07-31_021029
A1100_B1500,1100,1500,123,0.0,4.17811674796748,0.01874410461976636,0.05277837398373974,0.0005839767975639779,11.775556451612903,0.00285255514677204,3.969435483870967,0.006653838713235571,raw/2026-07-31\A1100_B1000-2000_2026-07-31_021029
A1100_B1600,1100,1600,125,0.0,5.213495999999998,0.020225764673929173,0.06983599999999988,0.0005139981172301403,11.717600000000001,0.0032297008749937652,5.5434399999999995,0.007716847091413568,raw/2026-07-31\A1100_B1000-2000_2026-07-31_021029
A1100_B1700,1100,1700,126,0.0,6.572883492063492,0.01735063420836837,0.09185619047619036,0.000530793271056293,11.617448,0.003218163291031377,7.960640000000001,0.008241315272415851,raw/2026-07-31\A1100_B1000-2000_2026-07-31_021029
A1100_B1800,1100,1800,126,0.0,8.253986666666668,0.018126952658911337,0.11622920634920623,0.000525787990385824,11.485919999999998,0.003605687263915339,11.24992,0.00940315389780505,raw/2026-07-31\A1100_B1000-2000_2026-07-31_021029
A1100_B1900,1100,1900,124,0.0,9.993392580645162,0.03252724689200335,0.14504129032258056,0.0006136705481525422,11.341927999999998,0.0034041184923086056,15.29216,0.009559716556737506,raw/2026-07-31\A1100_B1000-2000_2026-07-31_021029
A1100_B2000,1100,2000,126,0.0,11.543296190476191,0.021449536093805285,0.17227682539682534,0.0004739338062519824,11.182528,0.0034486570738336965,19.511200000000006,0.006718870872881209,raw/2026-07-31\A1100_B1000-2000_2026-07-31_021029
A1200_B1000,1200,1000,126,0.0,1.0095383809523812,0.027237044352021997,-0.018785873015873013,0.0002898788202174881,11.838680000000002,0.0025614411266240895,0.1364,0.005653888185390938,raw/2026-07-31\A1200_B1000-2000_2026-07-31_021641
A1200_B1100,1200,1100,123,0.0,1.3189233983739836,0.02977613702049825,-0.012587073170731709,0.0002807325277233037,11.815169354838709,0.0024086434577051596,0.4783064516129032,0.005799248635725668,raw/2026-07-31\A1200_B1000-2000_2026-07-31_021641
A1200_B1200,1200,1200,125,0.0,2.026878,0.031461889482458795,0.00028999999999995127,0.00042462887021415743,11.790620967741935,0.002928817022370836,1.171774193548387,0.006191125416649937,raw/2026-07-31\A1200_B1000-2000_2026-07-31_021641
A1200_B1300,1200,1300,126,0.0,2.8447447301587303,0.031401294408055634,0.013222063492063391,0.0003200686497287397,11.752999999999997,0.003716814876281515,2.0997580645161285,0.007556469561085287,raw/2026-07-31\A1200_B1000-2000_2026-07-31_021641
A1200_B1400,1200,1400,126,0.0,3.718554253968254,0.03334311606258349,0.02557126984126975,0.00028936991175687897,11.709744000000002,0.004232453783830143,3.2051199999999995,0.008687117640692207,raw/2026-07-31\A1200_B1000-2000_2026-07-31_021641
A1200_B1500,1200,1500,124,0.0,4.622658580645162,0.04044845510979814,0.04212516129032248,0.00044891373808526506,11.654112000000001,0.004733411999952073,4.493280000000001,0.00995459109511625,raw/2026-07-31\A1200_B1000-2000_2026-07-31_021641
A1200_B1600,1200,1600,126,0.0,5.625720920634923,0.034772077108433865,0.058063333333333245,0.00053925286350065,11.581427419354839,0.004898259047636942,6.093467741935484,0.011174793411966975,raw/2026-07-31\A1200_B1000-2000_2026-07-31_021641
A1200_B1700,1200,1700,126,0.0,7.067990761904763,0.033781427091325346,0.07976968253968243,0.0004325488567543158,11.476491935483871,0.005369209943436592,8.513387096774192,0.01151908477900927,raw/2026-07-31\A1200_B1000-2000_2026-07-31_021641
A1200_B1800,1200,1800,125,0.0,8.645318000000001,0.0370315247323142,0.10531399999999991,0.0004954221399717552,11.352671999999998,0.0058021661805826245,11.741760000000001,0.012647102945071084,raw/2026-07-31\A1200_B1000-2000_2026-07-31_021641
A1200_B1900,1200,1900,123,0.0,10.370411203252033,0.04221838986130336,0.1339413821138211,0.0005285721479575661,11.199604838709677,0.004769054271573358,15.723548387096775,0.011424384839167967,raw/2026-07-31\A1200_B1000-2000_2026-07-31_021641
A1200_B2000,1200,2000,125,0.0,11.975502000000002,0.03393933332171657,0.16149000000000002,0.0004737496276277363,11.031047999999998,0.004474657759484645,19.990319999999997,0.008178599927505536,raw/2026-07-31\A1200_B1000-2000_2026-07-31_021641
A1300_B1000,1300,1000,126,0.0,1.8163030605455757,0.05050845554091659,-0.03226912840984698,0.0005408563332274483,11.870298387096776,0.002730724349547441,1.1691129032258065,0.005668076640094339,raw/2026-07-31\A1300_B1000-2000_2026-07-31_022512
A1300_B1100,1300,1100,125,0.0,2.1039888383233536,0.06206928500812099,-0.02443490618762475,0.0005365620548544951,11.855637096774192,0.0021704007045070667,1.514032258064516,0.005341620096582291,raw/2026-07-31\A1300_B1000-2000_2026-07-31_022512
