a_us,b_zero_us
1100,1102.6104089779321
1200,1197.7479354496556
1300,1290.6923863659379
1400,1421.643863636364
1500,1448.413084633508
1600,1597.634706506823
1700,1676.795808954497
1800,1763.2256011313982
1900,1857.5149044816185
2000,1948.7544690550785
