phase,seq,pulse_us,theta_deg,theta_sd_deg,cross_deg,creep_dps,settled
dn,1370,1370,-8.797349774683306,0.2138193116480231,-0.11844791270639825,0.20942194692967162,True
dn,1380,1380,-8.757198069921971,0.2151699946520846,-0.09462364696863637,-0.08322163831761492,True
dn,1390,1390,-8.382753701945537,0.20891919936563869,-0.10939955352758796,-0.009306871320279464,True
dn,1400,1400,-7.843074227691107,0.23052234817560444,-0.134327899888379,-0.09499677303955058,True
dn,1410,1410,-7.404179145705605,0.21286192977305152,-0.10936166850350526,0.045684591735382585,True
dn,1420,1420,-6.741106859452637,0.22413321378671947,-0.09248516623000239,0.09587491086591804,True
dn,1430,1430,-5.988347937002295,0.21053091823843834,-0.10402588593741074,0.051244981119466064,True
dn,1440,1440,-5.214443325288459,0.21975216924494828,-0.0952260960011584,0.021979141976203015,True
dn,1450,1450,-4.352180072666384,0.21604183373979682,-0.10633143680420375,-0.07520088097531011,True
dn,1460,1460,-4.158349835949972,0.206820725567527,-0.09150713253315945,0.027992535524313605,True
dn,1470,1470,-2.667091466895409,0.23600565822945052,-0.04727466072724019,0.029101532056731005,True
dn,1480,1480,-2.507232438612509,0.2251864965505483,-0.05028503287836946,-0.06639763100890897,True
dn,1490,1490,-1.5368938327049881,0.20686999768867456,-0.04522756157495292,-0.004198857754418522,True
dn,1500,1500,-1.213624476845677,0.21502281166223117,-0.03628289087715899,-0.06781332237558534,True
dn,1510,1510,-0.7035750615852411,0.22271395609693845,-0.001948783684924649,0.024991326721939572,True
dn,1520,1520,-0.03369908121094079,0.2206696931267704,-0.023343037352493694,0.07973816068843846,True
dn,1530,1530,0.5842612527853794,0.22179515506367808,-0.05072395715368009,-0.03545043873416779,True
dn,1540,1540,1.204383397448988,0.22098854073755872,0.00558002815492938,0.002771965078551953,True
dn,1550,1550,1.6818554834286514,0.21704696380237515,0.02696256450706909,-0.07383865667296406,True
dn,1560,1560,2.4342027286218446,3.8813363218344423,0.09202120741705073,2.046414406231125,False
dn,1570,1570,3.228752026382648,0.21490336545029945,0.03242860867129684,-0.12427706454463935,True
dn,1580,1580,3.6560911851961935,0.2153373388228761,0.02782096032770386,-0.06135265282582988,True
dn,1590,1590,4.364015554069229,0.2194205479532993,0.0520429390634373,0.0784937123460378,True
dn,1600,1600,4.786073905586483,0.22440258910344305,0.08435860717750279,-0.05485161965301898,True
dn,1610,1610,5.333838272847545,0.2122664858560752,0.0889475746173626,-0.014545154521835397,True
dn,1620,1620,5.877992606311973,0.2270534115615089,0.09420049236642314,0.015915153114303027,True
dn,1630,1630,6.240316929430901,0.2210326584752954,0.056066655928762886,-0.05171879037250394,True
dn,1640,1640,6.746128422395933,0.2228607128043456,0.07309295408414772,-0.0933313280760343,True
dn,1650,1650,7.237520911287117,0.2172086013431822,0.1265437542641032,0.047740024451866675,True
dn,1660,1660,7.678559197934894,0.20841181087406702,0.13373876617599786,-0.18759664899855155,True
dn,1670,1670,7.914951709578394,0.22622394052043795,0.17708154308510568,-0.22467100674720436,True
dn,1680,1680,8.046955629663943,0.23384746259366798,0.22126178796417564,-0.29214258631594203,True
dn,1690,1690,8.162214268137705,0.22047346249152613,0.23127415718916922,0.03066480164746473,True
dn2,1370,1370,-8.80914783861255,0.2122576643955714,-0.08646344119663939,-0.15745858479957334,True
dn2,1380,1380,-8.77217239744831,0.21754758462044962,-0.09948386517676983,-0.009005191155938024,True
dn2,1390,1390,-8.422720053202058,0.2218201102740409,-0.12588346250708515,0.004238926624985321,True
dn2,1400,1400,-7.801750649530933,0.2252137611883519,-0.10007646738341833,-0.09058135179444789,True
dn2,1410,1410,-7.381411081176824,0.21141793294429023,-0.09211841985529799,0.11220653771500413,True
dn2,1420,1420,-6.899989791946223,3.76866180712468,0.07672090650466026,1.9172552813844213,False
dn2,1430,1430,-6.11712668295782,0.20900944722731682,-0.11723716341303868,-0.11127519728328031,True
dn2,1440,1440,-5.267862652217111,0.22739208453295184,-0.08925876392449414,-0.09529632356227391,True
dn2,1450,1450,-4.246054699077912,0.21720386669522643,-0.04827587971674575,-0.020267673604572226,True
dn2,1460,1460,-4.062111510757086,0.22683212631277783,-0.06906579950434179,-0.05835032027930632,True
dn2,1470,1470,-2.8721849314984564,0.23258222837232245,-0.039725125910526966,0.036779368293803676,True
dn2,1480,1480,-1.9585782265314269,8.105583250059018,0.3097172899365869,1.6256170713385985,False
dn2,1490,1490,-1.534702683867581,0.23118959184890697,-0.030928939520927942,0.1256725692043639,True
dn2,1500,1500,-1.2562123661026345,0.21814233946274264,-0.07294898779903014,-0.11086513605028407,True
dn2,1510,1510,-0.7444126366100936,0.21304770603654866,-0.04378741614196946,0.09332549607377291,True
dn2,1520,1520,-0.020927866894064097,0.21941031638310268,-0.053794200225054,0.14440372709841656,True
dn2,1530,1530,0.5583610178248205,0.21751268982180624,-0.03396101533351384,-0.052428090924252026,True
dn2,1540,1540,1.2273028865102034,0.22256524723998775,-0.014450746753446823,0.130954001183088,True
dn2,1550,1550,1.6633909179444326,0.21747189685587212,0.012032666323965373,-0.044337352886660214,True
dn2,1560,1560,2.211782870678021,0.21873896506369822,0.020139560103799452,0.09959764132439408,True
dn2,1570,1570,3.2413956473232886,0.22664507238548923,0.0288439617457949,-0.13876763952862153,True
dn2,1580,1580,3.6974966091211297,0.2202968559702795,0.017946484757009842,-0.06718847948684113,True
dn2,1590,1590,4.16919697700775,0.21971862032603734,0.04627478939608932,-0.08739945561147455,True
dn2,1600,1600,4.756386452865802,0.21349933596444423,0.04649793554452845,-0.04759072027702469,True
dn2,1610,1610,5.319973086043934,0.22154106370280718,0.10076017047295784,0.005823905601518855,True
dn2,1620,1620,5.914889866078773,0.22162306995674658,0.12822387547235103,0.12190641187699387,True
dn2,1630,1630,6.3037027232317,0.21654513991652385,0.11174809187512512,-0.03294105591345334,True
dn2,1640,1640,6.800426958112354,0.21787402393960104,0.11811972314799601,-0.005786863923060872,True
dn2,1650,1650,7.223404103256644,0.23357170095318452,0.13876706303794498,-0.17881955188313398,True
dn2,1660,1660,7.687812618334711,0.21373070208558995,0.13538321152611435,0.030544146771456178,True
dn2,1670,1670,7.894958350457426,0.21165774660118208,0.16081265745891676,-0.12879563701366953,True
dn2,1680,1680,8.229583529741427,3.6227528197486034,0.2821379357102099,1.3852844368162414,False
dn2,1690,1690,8.142042806413581,0.20950030296577335,0.22793093396573222,-0.09000937225674582,True
up,1370,1370,-9.07009780947585,0.30841602520913763,-0.07855898076142989,0.11562681543148687,True
up,1380,1380,-8.787615885007051,0.22218154341433913,-0.11476117177119868,-0.00330779723011526,True
up,1390,1390,-8.28957884324369,0.2108256498608094,-0.11779810978703506,-0.030441162910250667,True
up,1400,1400,-7.728976114203155,0.22510677824658715,-0.07550515483727122,0.04333758873381802,True
up,1410,1410,-7.5019906665162885,0.21238521090275864,-0.10925845461127784,-0.15454968325396107,True
up,1420,1420,-6.722458401753511,0.22990671487555664,-0.08907975062251518,0.11793376345221034,True
up,1430,1430,-6.055160970606978,0.21357272355688173,-0.08669675680512642,-0.07154621833451467,True
up,1440,1440,-5.288636898506899,0.2302745662694992,-0.07478247472799597,0.11178366848369731,True
up,1450,1450,-4.757183738139855,0.23074388672289056,-0.08464623049161026,-0.15789430530441192,True
up,1460,1460,-4.164142214198428,0.2288036519046037,-0.06149332896470395,-0.027287430664765865,True
up,1470,1470,-3.2644223852538308,0.22873413685705,-0.060710925764983756,0.17761685564951293,True
up,1480,1480,-2.6047201143735412,0.21425587155622638,-0.04693023053864249,0.05881650139248549,True
up,1490,1490,-1.957279186236072,0.2248890893883171,-0.026990475563507345,0.06718628275231242,True
up,1500,1500,-1.5053299838879823,0.2201626421149682,-0.03267192883840687,0.1618670824319852,True
up,1510,1510,-0.9533542566472953,2.025992294339545,0.06719274129238699,-0.15182338251364827,True
up,1520,1520,-0.2165340393931586,0.2142975331818584,-0.0008391839684163642,-0.0476631923263171,True
up,1530,1530,-0.07646572488977375,0.21977557459375446,-0.02377441494552994,-0.043179790930148496,True
up,1540,1540,0.9974736975847145,0.2609247692748858,0.0072205194193631994,-0.0164418802848884,True
up,1550,1550,1.2373269889752723,0.23266064089821506,-0.008082588222447612,-0.08143936514985409,True
up,1560,1560,1.8289260941253538,0.22229513440776816,0.039382730906815995,0.007630579774105432,True
up,1570,1570,2.8388381988289733,0.21781093375059626,0.01524015708213966,0.13645965389530187,True
up,1580,1580,3.029995072791272,0.20807011106898923,0.048351332081700886,0.00901764984978371,True
up,1590,1590,3.8942420190785665,0.2247363698914613,0.0609559334348167,-0.10198598054028844,True
up,1600,1600,4.236327933030384,0.25708761062276164,0.06045700238025245,0.17213813904525638,True
up,1610,1610,4.8366488179557345,0.2096355833369029,0.054391407877570144,0.026315978951098606,True
up,1620,1620,5.328449079110978,0.21549012044642157,0.07151978245359396,0.011203658899223682,True
up,1630,1630,5.692995480269433,0.22601611619045703,0.1379353676567997,-0.06259822858091584,True
up,1640,1640,6.53189210150739,0.21207399581361536,0.11470491530476955,0.07696385585338773,True
up,1650,1650,6.567337455335663,0.22386554715119417,0.09939931214082157,-0.04383724834961262,True
up,1660,1660,7.090188959688479,0.20403466313822013,0.16464420907056707,0.059972669306518976,True
up,1670,1670,7.328046224515418,0.2147045403912787,0.16103223556634175,0.1859244708084713,True
up,1680,1680,7.714328038419549,0.22081910490457526,0.19824648682749849,-0.0031777203494348562,True
up,1690,1690,8.128035755650124,0.22648428724234237,0.22466027579286565,0.10290703901951145,True
up2,1370,1370,-8.826814404496687,0.21880307739226426,-0.14239600699881816,0.06685799658263249,True
up2,1380,1380,-8.780161996935917,0.2101833320913827,-0.12662580691900926,-0.09489259261441065,True
