pulse_us,theta_deg,theta_up_deg,theta_down_deg
1370,-9.229996535109054,-9.269112553981213,-9.190880516236895
1380,-8.96495158539275,-8.937662370178,-8.992240800607501
1390,-8.455780528888884,-8.42293460850983,-8.488626449267938
1400,-7.915406754150656,-7.9197249985028995,-7.911088509798413
1410,-7.458685309069466,-7.5106774458882075,-7.4066931722507245
1420,-6.803400916033758,-6.817827628012518,-6.788974204054998
1430,-6.117061484261653,-6.14469122205226,-6.089431746471045
1440,-5.348790712298114,-5.3600899308538,-5.337491493742428
1450,-4.618429505203556,-4.7575297226405215,-4.479329287766591
1460,-3.856905494083377,-3.9538139833454773,-3.759997004821277
1470,-2.8707767962904924,-2.9313377208350935,-2.810215871745891
1480,-2.339752132952619,-2.3963973920728696,-2.2831068738323683
1490,-1.6877804564333565,-1.7403325011953723,-1.6352284116713405
1500,-1.3599175858757149,-1.458255064001552,-1.2615801077498778
1510,-0.8817489026619667,-0.9690882400899654,-0.794409565233968
1520,-0.10735204717829999,-0.1846216696012266,-0.030082424755373385
1530,0.41821431307584134,0.31617745107476775,0.520251175076915
1540,1.0969959082723917,1.0554889331625652,1.138502883382218
1550,1.5406659612677585,1.4804382882212128,1.600893634314304
1560,2.102715705559464,2.0361429432053986,2.1692884679135296
1570,3.0523393997777006,2.9305121357500816,3.174166663805319
1580,3.5323253481385017,3.402643324270654,3.6620073720063493
1590,4.115835930569395,4.03445237625099,4.1972194848878
1600,4.614627385536355,4.503062046238521,4.726192724834188
1610,5.065543689193226,4.850012123587998,5.281075254798454
1620,5.753617712352483,5.637532925306351,5.869702499398615
1630,6.038630099164408,5.942067356184589,6.135192842144226
1640,6.412481453071903,6.277170350250436,6.547792555893372
1650,6.793515083392254,6.715962168542177,6.871067998242331
1660,7.303627692269836,7.268548367810741,7.3387070167289306
1670,7.570487749831868,7.473714502980067,7.667260996683669
1680,7.777006556797943,7.740226970549216,7.81378614304667
1690,7.909802338474819,7.91625131500197,7.9033533619476675
