pass_,seq,pulse_us,theta_deg,theta_sd,theta_cross_deg,n,creep_dps,settled
dn,73,1310,-7.2425161068095605,0.19408599832914847,-0.09781115605759141,50,0.9683433657271698,False
dn,72,1320,-6.9757817282060826,0.22177723207789043,-0.07670793097416237,50,0.06684733862698394,True
dn,71,1330,-6.632890409326102,0.2391033322990057,-0.0942482201695927,50,0.22706116939529117,True
dn,70,1340,-6.425000677959582,0.21646564219805606,-0.14538600473788704,50,-0.31293893781887205,True
dn,69,1350,-6.022311676212019,0.21143601581316696,-0.06916486795749706,50,-0.01292118810860339,True
dn,68,1360,-5.575473798034773,0.2288910698591106,-0.0774600443556912,50,0.9120260680399849,False
dn,67,1370,-5.163643713561624,0.23883996671769808,-0.0773966844816519,50,-0.3989338543598385,True
dn,66,1380,-4.80954535420204,0.2707351147085879,-0.09509047980998703,50,-0.1843887534195957,True
dn,65,1390,-4.590430569897488,0.2676000723632461,-0.14206062413477838,50,0.38811323931408304,True
dn,64,1400,-4.263437228460189,0.20746512640021877,-0.13573974831124616,50,0.2940023301201762,True
dn,63,1410,-3.987537094779398,0.1881366101860926,-0.08906793513102429,50,0.6583887745114482,False
dn,62,1420,-3.6717744867280606,0.24177217480077864,-0.07908998538012242,50,-0.19286134900887766,True
dn,61,1430,-3.3780833751478947,0.2516946252361649,-0.27171138411675233,50,0.5946827215375566,False
dn,60,1440,-2.6971963945838007,0.25883794092401335,-0.14483139104162804,50,0.2789351168533905,True
dn,59,1450,-2.320435875611673,0.23544976763431366,-0.1959057143957719,50,-0.1160997065349287,True
dn,58,1460,-2.0323639107351705,0.26989679084976104,-0.1135271616018261,50,1.1324498419992894,False
dn,57,1470,-1.7087724293249955,0.25697623718988816,-0.19700037759850916,50,0.19440319095753722,True
dn,56,1480,-1.3309855602483567,0.2177750184060316,-0.19940994123713637,50,-0.0919104200532155,True
dn,55,1490,-0.7664145032850689,0.20811786387680192,-0.1680175588493799,50,-0.13302565655193382,True
dn,54,1500,-0.32570289282185744,0.2652211111542316,-0.19390087441673728,50,-0.801302050170264,False
dn,53,1510,-0.04213720325826159,0.21052024573200454,-0.22170389402843424,50,-0.03325003956395345,True
dn,52,1520,0.33724027097917997,0.2384668275648134,-0.16296271108240462,50,0.31450708954909246,True
dn,51,1530,0.802735514960944,0.29728266479069176,-0.22624803511584587,50,1.2720482024017659,False
dn,50,1540,1.0846813778015285,0.17895123046752906,-0.28907154542365365,50,-0.15806080876536133,True
dn,49,1550,1.5202314520763696,0.2548269765950486,-0.2388310416149406,50,0.26814849734122853,True
dn,48,1560,1.9940290711836774,0.213312430668493,-0.23146667397225115,50,0.18957747376424433,True
dn,47,1570,2.406495394355081,0.22042817073564203,-0.20058013055476606,50,-0.3352670317606335,True
