pulse_us,theta_deg,theta_up_deg,theta_down_deg
1310,-8.605161142780105,-8.595769913876307,-8.614552371683903
1320,-8.250760883143485,-8.337040564824527,-8.164481201462445
1330,-8.034162894384604,-8.161554420834163,-7.906771367935043
1340,-7.8072135036645784,-7.880762093923687,-7.73366491340547
1350,-7.477831280838577,-7.558679595717627,-7.396982965959527
1360,-6.582231669576919,-7.059942985177594,-6.104520353976245
1370,-6.349166064845314,-6.628317913303997,-6.070014216386632
1380,-5.7444856392081896,-6.2504147391902185,-5.2385565392261615
1390,-5.59477896310798,-6.040215506189243,-5.149342420026716
1400,-5.167191580720514,-5.697333616628175,-4.637049544812853
1410,-4.862769378276304,-5.381429463586523,-4.344109292966085
1420,-4.3450089998218395,-4.70767458186985,-3.982343417773829
1430,-4.170359893404147,-4.6441371844135935,-3.696582602394699
1440,-3.2551737379066017,-3.5409360959912806,-2.9694113798219224
1450,-3.052844881190346,-3.50723893185763,-2.5984508305230625
1460,-2.685339129683926,-3.026149334360844,-2.3445289250070083
1470,-2.377525894523555,-2.7399847311980237,-2.0150670578490866
1480,-1.984706751002701,-2.3644317541981374,-1.6049817478072648
1490,-1.3190855914807782,-1.5745198903520077,-1.0636512926095487
1500,-0.7929354927937826,-0.9222356417560448,-0.6636353438315203
1510,-0.4513847974598828,-0.5151250838505109,-0.38764451106925474
1520,0.03454325212555149,-0.005442264502739785,0.07452876875384276
1530,0.3826754618530537,0.3225416615342281,0.4428092621718792
1540,0.7543262696792421,0.7144758611419917,0.7941766782164925
1550,1.0871022424646373,1.0583319463659593,1.1158725385633153
1560,1.4889461485705235,1.432652845372167,1.5452394517688801
1570,1.9849180668822768,1.9534352112246243,2.0164009225399293
1580,2.2268730480590917,2.1518603958535145,2.301885700264669
1590,2.6737318546739415,2.6738599137541,2.6736037955937832
1600,2.945067955850349,2.9131802673574585,2.97695564434324
1610,3.22542365507064,3.1985265233542144,3.252320786787066
1620,3.687347072902152,3.6614585602758796,3.7132355855284236
1630,3.9892190107745953,3.9319296835127675,4.046508338036423
1640,4.467486596709679,4.434736751420209,4.500236441999149
1650,4.766272348284934,4.729680560398792,4.802864136171075
1660,5.128142950911773,5.062885798277945,5.193400103545602
1670,5.4806387800634635,5.430122123199487,5.531155436927441
1680,5.74941718340734,5.716701848464689,5.78213251834999
1690,6.132729784155877,6.075790741792409,6.1896688265193465
1700,6.453672025708617,6.392390046864315,6.5149540045529175
1710,6.956554512087125,6.923301451651347,6.9898075725229045
1720,7.18717048836408,7.14876053453902,7.22558044218914
1730,7.432496411154704,7.37879140757945,7.4862014147299565
1740,7.858990107226715,7.8232680290759795,7.8947121853774505
1750,8.147823538671302,8.088406286210436,8.207240791132168
1760,8.511390939450063,8.45256627053466,8.570215608365466
1770,8.700281672517526,8.639753381011602,8.760809964023451
1780,8.963870621008976,8.925838632399682,9.001902609618272
1790,9.315605075939636,9.280179040744242,9.35103111113503
1800,9.62549085287111,9.573482433698244,9.677499272043974
1810,9.985966313631302,9.935017859378561,10.036914767884042
1820,10.225796076271678,10.14664429248432,10.304947860059038
1830,10.66078648984136,10.57942933941434,10.742143640268381
1840,10.98747626163553,10.902233365950387,11.072719157320673
1850,11.169125804535687,11.042216068028463,11.296035541042912
1860,11.500628112852906,11.381464081241235,11.619792144464578
1870,11.730372744215753,11.582310218278936,11.878435270152572
1880,12.033045242871966,11.858330435589437,12.207760050154494
1890,12.228544221988825,12.034206963318137,12.422881480659512
1900,12.466736000570346,12.249560051760021,12.683911949380672
1910,12.83041340894604,12.578695886553806,13.082130931338273
1920,13.02679796674143,12.785881175818846,13.267714757664015
1930,13.280182419727112,13.04149627590552,13.518868563548704
1940,13.385305191135377,13.08411141382044,13.686498968450312
1950,13.512474361669762,13.169881147137513,13.85506757620201
1960,13.624646275858922,13.271787697792615,13.977504853925227
1970,13.71884672646696,13.371853491270581,14.06583996166334
1980,13.82169204714052,13.53802033122014,14.1053637630609
1990,13.915495742547456,13.652918867508124,14.178072617586789
2000,13.958264980005374,13.737667128724581,14.17886283128617
2010,14.048933095425703,13.885999883033122,14.211866307818285
2020,14.130589496628758,14.01143576313169,14.249743230125826
2030,14.210499280410541,14.178964474884438,14.242034085936647
2040,14.265391464559581,14.268326921524649,14.262456007594515
