pulse_us,theta_up_deg,theta_dn_deg
1460,-3.5837722660690816,-3.1030737396584955
1463,-3.605160104445984,-2.9143084372043337
1466,-3.5414652248091185,-2.6205942014066363
1469,-3.5273103750654116,-2.4156719146412042
1472,-3.3853812069331455,-2.257285696312955
1475,-3.4054240693980877,-1.9745807535224476
1478,-3.1067660913310835,-1.8659808647166434
1481,-2.980782553499,-1.6227631621433167
1484,-2.923710246064001,-1.3955640941292038
1487,-2.944607081173548,-1.3311451339185987
1490,-2.5147159254714744,-1.0547307536700115
1493,-2.5317642479276716,-0.9679960676409824
1496,-2.4026080919320183,-0.9357635056500146
1499,-2.3379197203677875,-0.7525588020390973
1502,-2.326634805279236,-0.45879135896067014
1505,-2.162513756270041,-0.37423981451800586
1508,-1.994099353773047,-0.29040177652480637
1511,-1.9226040629223144,-0.04719531549976679
1514,-1.4893999430040787,0.15284545018974385
1517,-1.4832975979253051,0.285529914127997
1520,-1.1830290730543371,0.47786544778617
1523,-0.8729264835097951,0.6750633211165484
1526,-0.8746683074244912,0.8891022802992359
1529,-0.8624947777907382,1.0443011205575303
1532,-0.4370134535171083,1.2460053177159949
1535,-0.3925196675190422,1.3065119432642502
1538,-0.13815523075003625,1.4789146398410884
1541,-0.1138767441607466,1.6587135004322033
1544,0.15667373065017828,1.7525255950003
1547,0.13978140928585475,1.8736930219692645
1550,0.37782566630262737,1.9604630425969896
1553,0.5797812125683156,2.0871486183734893
1556,0.5562807357680183,2.0626907666786183
1559,0.87587794156814,2.118769851386582
1562,0.8743130812229368,2.1600523877401554
1565,1.4567987298511196,2.2248709407293403
1568,1.4735417922990905,2.22618598940028
1571,1.6848312610519331,2.2541605687962747
1574,1.9926105847872009,2.297180943050591
1577,2.002863343485324,2.2748653323747186
1580,2.300674375073892,2.289741162877024
