a_us,b_zero_us
1100,1102.109011849577
1200,1196.403234792358
1300,1290.4575491672156
1400,1419.38059635069
1500,1445.5475630209232
1600,1597.378691212096
1700,1677.6498150431567
1800,1763.6372002650364
1900,1856.7573698060257
2000,1947.0678098154488
