a_us,b_us,n,thrust_N,thrust_s,thrust_sem,thrust_sem_corr,thrust_tau,thrust_neff,thrust_drift,torque_Nm,torque_s,torque_sem_corr,torque_tau,flags,run
1000,1000,151,0.00981109933774845,0.08422831685260843,0.006854403215637309,0.006854403215637309,1.0,151.0,0.025821383998687403,0.00016125827814567116,0.0025617323057222463,0.0003317251673143716,2.532015154142438,,A1000_B1000-2000_2026-07-31_015904
1000,1100,148,0.4223462702702704,0.09461828752741372,0.007777575325036967,0.007777575325036967,1.0,148.0,0.02253158319782294,0.007289189189189167,0.0024024543894142227,0.00019748053433350435,1.0,,A1000_B1000-2000_2026-07-31_015904
1000,1200,151,1.2501488476821194,0.08095843372478237,0.00658830390054177,0.006908612059381016,1.0995990732069896,137.32277852836606,0.022164613824271703,0.020220860927152296,0.0032652021765678056,0.00026571838468453495,1.0,,A1000_B1000-2000_2026-07-31_015904
1000,1300,151,2.0951687152317877,0.16186798534581107,0.01317262983189602,0.023856736950193448,3.2800246566305162,46.03623929922477,0.006877506048370528,0.03381026490066224,0.0025109912908437507,0.000204341573256354,1.0,,A1000_B1000-2000_2026-07-31_015904
1000,1400,151,2.9194468609271524,0.08350853177123399,0.006795827936435491,0.006795827936435491,1.0,151.0,0.0015535910425293787,0.04745927152317878,0.0027927847749364804,0.00022727360176751177,1.0,,A1000_B1000-2000_2026-07-31_015904
1000,1500,151,3.8685461986754968,0.1419457552704328,0.011551381741063368,0.013670650756196273,1.400588333347074,107.81183621538942,0.028990913944462342,0.06157185430463575,0.0039802159747051435,0.0003853210131244234,1.4151714468189611,,A1000_B1000-2000_2026-07-31_015904
1000,1600,148,4.884481405405405,0.12007264455563064,0.009869910584010901,0.009869910584010901,1.0,148.0,0.01605393466729567,0.0789716216216216,0.0033317793767054173,0.0002738705777276226,1.0,,A1000_B1000-2000_2026-07-31_015904
1000,1700,151,6.257638913907284,0.09762831393668135,0.007944879513095882,0.007944879513095882,1.0,151.0,0.020389001995876517,0.10231357615894038,0.002860710481534466,0.0002546859763979211,1.1968485489008056,,A1000_B1000-2000_2026-07-31_015904
1000,1800,151,7.95823494039735,0.4545633669462778,0.03699184218010404,0.03699184218010404,1.0,151.0,0.034109686757435,0.12305529801324504,0.005313276303493226,0.0004323882934045075,1.0,,A1000_B1000-2000_2026-07-31_015904
1000,1900,152,9.702832578947369,0.4359271613729248,0.03535836181370756,0.03535836181370756,1.0,152.0,0.04582617253147339,0.15174473684210524,0.005205903290435023,0.00042225451502184115,1.0,,A1000_B1000-2000_2026-07-31_015904
1000,2000,149,11.282465261744967,0.32992973681567733,0.027028897192784892,0.027366809978121256,1.0251601136505004,145.3431498319075,0.04169562681842307,0.1766687919463087,0.00591956637755783,0.0005362652517160323,1.222829177726932,,A1000_B1000-2000_2026-07-31_015904
1100,1000,151,0.33728688741721796,0.36815589844916774,0.02996010211864597,0.03183495349484768,1.1290725810532185,133.73808073449501,0.07079413754451963,-0.007527284768211951,0.006265621537009168,0.0005098890493846074,1.0,,A1100_B1000-2000_2026-07-31_021029
1100,1100,149,0.7292059060402679,0.39254670113285683,0.03215867878624841,0.03608453856548034,1.259058521011243,118.34239434742642,0.05013595163579033,-0.00026429530201345147,0.00568196985434814,0.000465485107610892,1.0,,A1100_B1000-2000_2026-07-31_021029
1100,1200,151,1.482902781456953,0.5589313536576253,0.04548518848519167,0.05630451411947129,1.5323092833423932,98.54407438596662,0.02581639918304127,0.012267417218543018,0.005538402954351391,0.0004991366755012052,1.2264414245025312,,A1100_B1000-2000_2026-07-31_021029
