seq,amp_us,final_deg,model,fitted_delay_ms,direct_onset_ms,tau_ms,wn_rad_s,zeta,bandwidth_hz,rise_10_90_ms,settling_2pct_ms,overshoot_pct,peak_slew_dps,tail_angle_rms_deg,tail_rate_rms_dps,ring_frequency_hz,residual_pct,settled,pre_noise_dps
0,8,-0.17456239768432918,2nd,17.40009723189524,19.96299999999995,,49.34486044538351,0.7371561706312173,7.5203421829035015,46.00000000000004,878.963,5.356213050236045,3.8451413602430877,0.0013222889383169465,0.1738120989173898,,1.4808259264565957,True,0.18213303969937097
1,-7,0.4192088725747882,2nd,29.045938035190748,17.96199999999981,,56.42772644547953,0.4640296704985757,11.778404275990704,34.999999999999254,918.9619999999996,25.51295575508672,12.120439858399736,0.0018873558620334503,0.1864952252148541,,1.874318458640954,True,0.18793829686429223
2,17,-1.124046836325729,2nd,39.54964864167864,14.96199999999881,,42.735839195857345,0.30958491071863364,9.842744559387679,44.00000000000048,282.9619999999995,41.43292933551926,24.351386104183376,0.001113967766088933,0.17862673213900684,,2.1243260073216668,True,0.1722019635588008
3,-15,0.9204323735020926,2nd,27.50790337215773,15.962000000000032,,37.4977272239731,0.46080915378323983,7.847322657389661,48.99999999999949,197.96200000000042,23.228665500446283,17.925914113806567,0.0011171318254911743,0.17805090806999468,,1.1053210744872033,True,0.1713019461859194
4,42,-2.381789854846185,2nd,30.1262430694212,9.961999999998028,,42.72353863075573,0.3233032157448637,9.773414315381121,40.0000000000027,258.96200000000033,36.642218583233095,55.977022314349895,0.0010643929526382167,0.17230621580194902,,1.2432907635293695,True,0.18391107594190298
5,-37,2.347605721650069,2nd,27.040273549853836,9.961999999998028,,38.644507670263245,0.2585246471261441,9.100619849562607,45.999999999999375,372.9619999999976,35.393544803509506,46.63561283750402,0.0016577397369035784,0.18340217490268704,,3.125344899723952,True,0.19949963970637366
6,85,-5.2225815176890364,2nd,30.79654331701189,15.962999999999283,,43.72694817459804,0.303967034212083,10.098000114445448,39.00000000000148,277.96299999999974,34.488453059074786,124.46639004682507,0.0014412657948411427,0.19157532566345586,,1.7250594639356527,True,0.17815181334737348
7,-75,5.327231806292274,2nd,27.753612367645818,7.963000000000164,,39.24062886150088,0.3625051995234541,8.786929946764046,47.999999999998266,511.9630000000015,23.78044991312902,99.931908126367,0.0015217629017033386,0.1796395066844303,,2.7988296667098695,True,0.17470614480161742
8,153,-8.719155449538057,2nd,36.25437815867929,9.96200000000158,,61.93823142613451,0.38127635670658544,13.713452379205835,36.000000000001364,277.96200000000226,20.83954330302701,234.76479516625955,0.001528515030191393,0.1922386963165696,,3.0242971310033853,True,0.1575317748982014
9,-135,8.84999878139583,2nd,31.17087366997165,7.962999999996612,,52.35456763655891,0.3160090033201053,12.020388401891488,38.99999999999437,413.9630000000025,22.834676391344193,208.02609392728382,0.001316590642777755,0.18249861575667592,,4.3957335577884695,True,0.1723410479756146
