t_epoch,phase,sweep_idx,a_cmd_us,b_cmd_us,a_cmd_norm,b_cmd_norm,t_stm_ms,Fx_raw,Fy_raw,Fz_raw,Tx_raw,Ty_raw,Tz_raw,Fx,Fy,Fz,Tx,Ty,Tz,force_count,torque_count
1785432315.1138444,idle_pre,0,1000,1000,0.0,0.0,5723339,-2.001,-1.139,-1.2550000000000001,0.094,-0.117,-0.024,-0.235385229540918,0.13722954091816408,-0.15758083832335368,-0.009359281437125708,-0.020335329341317293,-0.0005469061876247974,20,20
1785432315.1138568,idle_pre,0,1000,1000,0.0,0.0,5723359,-1.721,-1.139,-0.978,0.091,-0.094,-0.022,0.0446147704590818,0.13722954091816408,0.11941916167664646,-0.01235928143712571,0.0026646706586827135,0.0014530938123752044,20,20
1785432315.1138675,idle_pre,0,1000,1000,0.0,0.0,5723379,-1.797,-1.367,-1.075,0.115,-0.106,-0.028,-0.03138522954091805,-0.0907704590818359,0.022419161676646482,0.011640718562874297,-0.009335329341317283,-0.0045469061876247975,20,20
1785432315.164021,idle_pre,0,1000,1000,0.0,0.0,5723399,-1.426,-1.1320000000000001,-1.199,0.094,-0.076,-0.02,0.33961477045908195,0.14422954091816398,-0.10158083832335363,-0.009359281437125708,0.020664670658682716,0.0034530938123752027,20,20
1785432315.164048,idle_pre,0,1000,1000,0.0,0.0,5723419,-2.089,-1.114,-1.041,0.091,-0.124,-0.023,-0.3233852295409181,0.162229540918164,0.05641916167664651,-0.01235928143712571,-0.027335329341317285,0.00045309381237520346,20,20
1785432315.2141569,idle_pre,0,1000,1000,0.0,0.0,5723439,-2.073,-1.139,-0.983,0.093,-0.11800000000000001,-0.022,-0.30738522954091807,0.13722954091816408,0.11441916167664645,-0.010359281437125709,-0.021335329341317294,0.0014530938123752044,20,19
1785432315.2141774,idle_pre,0,1000,1000,0.0,0.0,5723459,-2.333,-1.083,-1.046,0.093,-0.145,-0.023,-0.5673852295409183,0.19322954091816413,0.0514191616766464,-0.010359281437125709,-0.048335329341317276,0.00045309381237520346,19,20
1785432315.2141905,idle_pre,0,1000,1000,0.0,0.0,5723479,-1.835,-1.227,-1.1,0.095,-0.095,-0.02,-0.06938522954091808,0.049229540918164005,-0.0025808383233536514,-0.008359281437125707,0.0016646706586827126,0.0034530938123752027,21,21
1785432315.264281,idle_pre,0,1000,1000,0.0,0.0,5723499,-1.864,-1.338,-1.113,0.11,-0.10400000000000001,-0.023,-0.09838522954091822,-0.06177045908183598,-0.015580838323353552,0.006640718562874293,-0.007335329341317295,0.00045309381237520346,19,19
1785432315.2642968,idle_pre,0,1000,1000,0.0,0.0,5723519,-1.659,-1.23,-1.022,0.1,-0.09,-0.021,0.10661477045908185,0.046229540918164114,0.07541916167664642,-0.0033592814371257024,0.006664670658682717,0.0024530938123752018,20,20
1785432315.3143864,idle_pre,0,1000,1000,0.0,0.0,5723539,-1.942,-1.1420000000000001,-1.047,0.093,-0.114,-0.022,-0.17638522954091806,0.13422954091816397,0.05041916167664651,-0.010359281437125709,-0.01733532934131729,0.0014530938123752044,21,21
1785432315.314403,idle_pre,0,1000,1000,0.0,0.0,5723559,-2.374,-1.065,-1.061,0.08600000000000001,-0.14200000000000002,-0.023,-0.6083852295409182,0.21122954091816415,0.036419161676646494,-0.0173592814371257,-0.0453353293413173,0.00045309381237520346,19,19
