pulse_us,theta_up_deg,theta_dn_deg
1460,-1.838555713341873,-1.8001009049582348
1463,-1.8691179505647597,-1.7156228810161993
1466,-1.8086868148221165,-1.6418580720452978
1469,-1.7658140749399627,-1.5492680589311936
1472,-1.742737968369134,-1.4506968150071315
1475,-1.7430597702625703,-1.3402958143899917
1478,-1.6919198025031523,-1.198364060349444
1481,-1.6472691924914409,-1.0888752214787984
1484,-1.5326573196733972,-0.798273363113024
1487,-1.5351325039638568,-0.6741136298334176
1490,-1.2730156716123018,-0.5617021487797126
1493,-1.2314210827122496,-0.48457077569406537
1496,-1.0057561093778302,-0.08788256213729753
1499,-0.9657202810201159,-0.22095990367997786
1502,-0.7634062102624689,-0.053438237384862364
1505,-0.7887493078783946,-0.019990065341311123
1508,-0.6390380720801133,0.029158602565985917
1511,-0.6352279753383311,0.13908178958027378
1514,-0.37050331038386586,0.2198534779417946
1517,-0.3613626639124905,0.36441983839999964
1520,-0.312018422807167,0.4598241538720801
1523,-0.10363067872831294,0.5962365006265996
1526,-0.09551706798115703,0.7495808399579539
1529,0.09757815550851533,0.7598040436622846
1532,0.13602243807544367,0.8335631628376753
1535,0.11801776336226552,0.8836565533530552
1538,0.4341114471283366,1.0453217701388
1541,0.4093869885848942,1.141836066231087
1544,0.6052866849229368,1.1877465334611201
1547,0.5041477234959452,1.271822451899304
1550,0.7750602232551307,1.454768065897429
1553,0.7996587102353903,1.507274554898958
1556,1.0143794408168383,1.5878630840808956
1559,1.0147996766248477,1.6619564780570066
1562,1.2305323867383167,1.6779504632958264
1565,1.2802159542967382,1.7442397710187736
1568,1.477285892902182,1.7284416986531064
1571,1.5338807244925783,1.7449227222147896
1574,1.5605930146804292,1.8078385759666002
1577,1.7911350493413734,1.7711050254372884
1580,1.8172915553958138,1.7999066261123553
