pulse_us,theta_deg,theta_up,theta_dn
1310,-7.449850640920305,-7.631150492194674,-7.268550789645936
1320,-7.207058993650674,-7.460638554106174,-6.953479433195174
1330,-6.957429031719463,-7.231290858267183,-6.683567205171743
1340,-6.839003752664663,-7.21557039304024,-6.462437112289086
1350,-6.431694966782212,-6.848013324599309,-6.015376608965115
1360,-5.988082549250832,-6.422288357201845,-5.553876741299818
1370,-5.571407370766545,-5.9726415545907265,-5.170173186942364
1380,-5.258812512966281,-5.704339054647075,-4.813285971285486
1390,-5.042085390607957,-5.493519884698656,-4.590650896517257
1400,-4.720070314056482,-5.147376241108833,-4.292764387004132
1410,-4.456063833982132,-4.888293940153511,-4.023833727810752
1420,-4.086565612445725,-4.52697413935785,-3.6461570855335985
1430,-3.726238393019484,-4.1562422731798065,-3.2962345128591615
1440,-3.050882240174769,-3.4609877049537747,-2.6407767753957634
1450,-2.693734947605011,-3.1111052959448937,-2.2763645992651282
1460,-2.455890294518539,-2.9036079314303276,-2.0081726576067505
1470,-2.087718202503681,-2.4552988158216618,-1.7201375891857007
1480,-1.768140673114356,-2.2266578818723604,-1.309623464356352
1490,-1.1814072164463685,-1.568616317375914,-0.794198115516823
1500,-0.771981251137356,-1.1942867885850341,-0.3496757136896781
1510,-0.5031275119642906,-0.9326716092927794,-0.0735834146358019
1520,-0.0837765751548297,-0.5131388117984361,0.34558566148877673
1530,0.27468303360371593,-0.21322316915115863,0.7625892363585904
1540,0.7000638979877969,0.2692689894047089,1.130858806570885
1550,0.9935341852348456,0.5007543369548014,1.4863140335148897
1560,1.4205771878989597,0.8891197742510952,1.952034601546824
1570,1.8800433910314722,1.4241552324913556,2.3359315495715887
1580,2.1444351919853024,1.6439522532603845,2.64491813071022
1590,2.567499750316367,2.0794694921497094,3.055530008483025
1600,2.842270455343534,2.338925012991729,3.345615897695339
1610,3.098458620385479,2.584450338210682,3.6124669025602754
1620,3.492426655281005,2.9779065219006666,4.0069467886613435
1630,3.8153968499504574,3.283852018560505,4.346941681340409
1640,4.3193223775497716,3.7953580931137516,4.8432866619857915
1650,4.6622409271121334,4.135160365798312,5.189321488425954
1660,4.95835821744147,4.428626669548578,5.488089765334362
1670,5.33335710665844,4.811276857498479,5.8554373558184
1680,5.6292996506376385,5.145127435828637,6.11347186544664
1690,5.910005364460121,5.4061047137041305,6.413906015216112
1700,6.2669895723350315,5.7468573702451975,6.787121774424865
1710,6.786835187794873,6.2720733665731325,7.3015970090166125
1720,6.9659192932888745,6.455740414606565,7.476098171971184
1730,7.246915274680401,6.719520012846014,7.774310536514788
1740,7.670849274594284,7.193393264999027,8.14830528418954
1750,7.941662468944982,7.455828742394774,8.427496195495191
1760,8.264141828123298,7.743168207868141,8.785115448378455
1770,8.52110366257106,7.974537318209748,9.06767000693237
1780,8.741837917503636,8.172362187732059,9.311313647275213
1790,9.132951257584205,8.603582796078413,9.662319719089997
1800,9.397947523660623,8.836345146409865,9.95954990091138
1810,9.78567341969703,9.273429376346368,10.297917463047694
1820,10.01477731771326,9.490706608252063,10.53884802717446
1830,10.478051621324914,9.962948867241995,10.993154375407833
1840,10.854016492293013,10.373826345912654,11.33420663867337
1850,11.044310239632921,10.612179412730704,11.476441066535138
1860,11.434840132811217,10.905025442615154,11.964654823007283
1870,11.64049599055869,11.179201050967576,12.101790930149805
1880,12.014593660765975,11.559666524512222,12.46952079701973
1890,12.247073384668955,11.748444743361823,12.745702025976087
1900,12.433515073896032,11.912788964139994,12.954241183652071
1910,12.875950428854917,12.383366309538081,13.368534548171752
1920,13.196263586606467,12.740173297019254,13.65235387619368
1930,13.492761513707316,13.06313351034716,13.922389517067472
1940,13.74459294912183,13.408324741553749,14.080861156689913
1950,13.839320886447684,13.500354848432831,14.178286924462537
1960,14.08848485923004,13.808566654008661,14.36840306445142
1970,14.240374410520529,13.95790435294095,14.522844468100107
1980,14.430850287755451,14.146461667179697,14.715238908331205
1990,14.52898845949013,14.268563491762958,14.789413427217301
2000,14.576561448279191,14.329906458362089,14.823216438196294
2010,14.710011224024807,14.546064225328788,14.873958222720827
2020,14.801068697558058,14.67298799069354,14.929149404422574
2030,14.881263399667022,14.816155663272799,14.946371136061245
2040,14.944981806004737,14.983771483016012,14.90619212899346
