seq,amp_us,final_deg,model,fitted_delay_ms,direct_onset_ms,tau_ms,wn_rad_s,zeta,bandwidth_hz,rise_10_90_ms,settling_2pct_ms,overshoot_pct,peak_slew_dps,tail_angle_rms_deg,tail_rate_rms_dps,ring_frequency_hz,residual_pct,settled,pre_noise_dps
0,26,0.8033350622620985,2nd,27.669423353320962,9.962999999999944,,54.85679882457699,0.34724390754394213,12.390777993562995,32.00000000000003,646.9629999999997,35.80578273795956,23.74393419126113,0.0011321679180786512,0.21518637942119045,,2.1242697461109548,True,0.17652728845771568
1,-8,-0.3249281143645788,2nd,41.064804843534134,20.963000000000065,,79.61486902024056,0.5149325275664468,15.899580709209456,33.99999999999981,689.9629999999996,21.21028097604165,11.766648082923558,0.001405322549471999,0.18459659403377315,,2.905997423128507,True,0.18278522853093673
2,52,2.0132777887536886,2nd,31.586649049618735,10.96199999999925,,59.988519123737866,0.3318495600588555,13.662646053235179,32.00000000000003,335.96200000000033,29.56126005575152,58.60808773276659,0.0014216865525980313,0.20220056978301862,,2.0543440446689507,True,0.1767406878801573
3,-17,-0.49940003441150926,2nd,7.023001348854635,15.962000000000032,,32.716169903262504,0.5744347403900283,6.15275513017762,45.999999999999375,1009.9619999999998,20.044714218077093,14.03901813027057,0.002219367284571354,0.18221537797988366,,4.323594346959019,True,0.1868081264116645
4,130,4.949792787782766,2nd,30.78934432952882,9.962999999999056,,64.52979288977826,0.22283418037044203,15.393414111927134,27.999999999998693,394.96300000000065,28.83169486102889,179.6622771707287,0.001472917670757956,0.21318841589856527,,3.4916303613489,True,0.1842376009531425
5,-42,-1.8654596772068475,2nd,24.471415347277645,8.963000000001387,,56.68616845901995,0.7119524699549766,8.960061307418831,41.99999999999804,308.96299999999854,6.326902948469519,42.03200042073983,0.0018712705910705664,0.19928382866133437,,1.2806227834143735,True,0.17717517369867733
6,260,9.34777795111759,2nd,31.174350563483408,6.962999999998942,,75.95102389913323,0.29655320574362076,17.600104035571572,27.999999999998693,363.96299999999826,19.520092196649692,338.47006094018064,0.0007822480628506915,0.1848158127534196,,3.8738837925319816,True,0.18335618885774738
7,-85,-3.8108887712839565,2nd,29.868033763221113,9.96200000000158,,66.72261194075863,0.43687123394042326,14.223394446215607,33.00000000000125,298.96200000000306,15.859118904636468,105.51619477149818,0.0017560416817728576,0.19399328723874773,,3.119354938591326,True,0.19481731227793592
8,468,15.434359491716917,2nd,32.76972707860236,8.963000000001387,,78.39979222974027,0.933394330130933,8.849811097138955,37.9999999999967,240.9630000000007,5.15293797544691,402.78405522356366,0.002626794704618813,0.20038880052101657,,2.1685654183833805,True,0.17637185863972143
9,-153,-6.146027704021384,2nd,28.966317599968033,9.96200000000158,,69.28750126637021,0.24374674410916986,16.40837500751797,29.000000000003467,339.9619999999999,21.90223347419387,210.00830236819885,0.0016109176418848963,0.20509292064746001,,4.379745646468979,True,0.19332073865005248
