t_epoch,phase,sweep_idx,a_cmd_us,b_cmd_us,a_cmd_norm,b_cmd_norm,t_stm_ms,Fx_raw,Fy_raw,Fz_raw,Tx_raw,Ty_raw,Tz_raw,Fx,Fy,Fz,Tx,Ty,Tz,force_count,torque_count
1785431804.7163877,idle_pre,0,1000,1000,0.0,0.0,5211239,-2.274,-1.075,-1.076,0.083,-0.135,-0.019,-0.5857400000000017,0.2435879999999997,-0.08408600000000022,-0.019863999999999854,-0.04807600000000001,-0.0002700000000000133,20,20
1785431804.7164154,idle_pre,0,1000,1000,0.0,0.0,5211259,-1.732,-1.471,-0.986,0.111,-0.095,-0.018000000000000002,-0.043740000000001666,-0.15241200000000044,0.005913999999999864,0.008136000000000143,-0.008076,0.0007299999999999841,21,20
1785431804.7665193,idle_pre,0,1000,1000,0.0,0.0,5211279,-1.112,-1.293,-0.972,0.10200000000000001,-0.037,-0.016,0.5762599999999982,0.025587999999999722,0.019913999999999876,-0.000863999999999851,0.049924,0.002729999999999986,19,20
1785431804.7665393,idle_pre,0,1000,1000,0.0,0.0,5211299,-2.0020000000000002,-1.161,-0.876,0.097,-0.109,-0.02,-0.3137400000000019,0.15758799999999962,0.11591399999999985,-0.0058639999999998554,-0.022076,-0.0012700000000000142,20,20
1785431804.7665522,idle_pre,0,1000,1000,0.0,0.0,5211319,-1.1260000000000001,-1.546,-0.9480000000000001,0.123,-0.046,-0.018000000000000002,0.5622599999999982,-0.2274120000000004,0.04391399999999979,0.02013600000000014,0.040924,0.0007299999999999841,20,20
1785431804.8166413,idle_pre,0,1000,1000,0.0,0.0,5211339,-2.166,-1.069,-1.1400000000000001,0.083,-0.122,-0.017,-0.4777400000000016,0.2495879999999997,-0.14808600000000027,-0.019863999999999854,-0.035075999999999996,0.001729999999999985,20,20
1785431804.8166578,idle_pre,0,1000,1000,0.0,0.0,5211359,-0.965,-1.589,-0.8220000000000001,0.126,-0.028,-0.019,0.7232599999999983,-0.2704120000000003,0.1699139999999998,0.023136000000000143,0.058924000000000004,-0.0002700000000000133,20,19
1785431804.8667417,idle_pre,0,1000,1000,0.0,0.0,5211379,-2.004,-0.96,-1.121,0.07,-0.10200000000000001,-0.015,-0.3157400000000017,0.3585879999999997,-0.12908600000000015,-0.03286399999999985,-0.015076000000000006,0.003729999999999987,20,21
1785431804.8667576,idle_pre,0,1000,1000,0.0,0.0,5211399,-1.8860000000000001,-1.307,-0.916,0.101,-0.098,-0.02,-0.1977400000000018,0.01158799999999971,0.07591399999999981,-0.0018639999999998519,-0.011076000000000003,-0.0012700000000000142,19,19
1785431804.8667703,idle_pre,0,1000,1000,0.0,0.0,5211419,-1.323,-1.487,-1.012,0.121,-0.064,-0.019,0.36525999999999836,-0.16841200000000045,-0.02008600000000016,0.018136000000000138,0.022924,-0.0002700000000000133,20,20
1785431804.916852,idle_pre,0,1000,1000,0.0,0.0,5211439,-2.1270000000000002,-1.3900000000000001,-0.986,0.11,-0.126,-0.02,-0.4387400000000019,-0.07141200000000048,0.005913999999999864,0.007136000000000142,-0.039076,-0.0012700000000000142,21,21
1785431804.916867,idle_pre,0,1000,1000,0.0,0.0,5211459,-1.588,-1.443,-0.9570000000000001,0.112,-0.081,-0.019,0.10025999999999824,-0.12441200000000041,0.03491399999999978,0.009136000000000144,0.005923999999999999,-0.0002700000000000133,19,19
1785431804.9669583,idle_pre,0,1000,1000,0.0,0.0,5211479,-1.663,-1.226,-1.025,0.097,-0.083,-0.019,0.025259999999998284,0.09258799999999967,-0.03308600000000006,-0.0058639999999998554,0.003923999999999997,-0.0002700000000000133,20,20
1785431804.9669747,idle_pre,0,1000,1000,0.0,0.0,5211499,-1.979,-1.381,-0.967,0.109,-0.109,-0.022,-0.2907400000000018,-0.062412000000000356,0.02491399999999988,0.006136000000000141,-0.022076,-0.0032700000000000125,21,21
