pulse_us,theta_up_deg,theta_dn_deg
1460,-2.764808187340046,-2.226153695467715
1463,-2.685445574764468,-2.180435906214794
1466,-2.5317844608975566,-2.08573764707385
1469,-2.43838031041893,-2.0122575185994624
1472,-2.3712317900723217,-1.9715954980778492
1475,-2.2667084935135353,-1.8434952037796046
1478,-2.1395758694307725,-1.706109458764126
1481,-1.9836018468837835,-1.5305703542005742
1484,-1.7479861137966242,-1.2871614516052277
1487,-1.559011234420226,-1.0859710306362151
1490,-1.599546091561646,-1.0337412250126277
1493,-1.2714040556788313,-0.8597329363739777
1496,-1.1423878731225239,-0.7612241281151293
1499,-0.18417555570085326,-0.7054722590762168
1502,-0.9954388473817716,-0.5012366818107473
1505,-1.0039092251334232,-0.495598151884368
1508,-0.840331669021449,-0.3939624854853281
1511,-0.6042282851668292,-0.2838691048992102
1514,-0.5962737266335293,-0.1889793800429328
1517,-0.41575244918215304,-0.010540717004991791
1520,-0.348225876914165,0.1357786387480067
1523,-0.21355460003869722,0.22827577572715924
1526,-0.22992758824567672,0.4053529678468864
1529,0.03472164714423357,0.39295823106695765
1532,0.11613699670832289,0.48367561475765797
1535,1.0568513310069347,0.5674746841373046
1538,0.42146143284123383,0.7380331224839688
1541,0.4996006201138776,0.8154376745260621
1544,0.5591677280456647,0.8437554671415421
1547,0.5606443561917636,0.905597184320383
1550,0.8862129033411147,1.0582637350020065
1553,0.8480222061608497,1.2780891598913957
1556,1.0300131200054274,1.3207276495785203
1559,1.0982595812587774,1.436557221525069
1562,1.2713188896711396,1.526314419505891
1565,1.4416113579715335,1.688296107182174
1568,1.461999014544311,1.7596650647598373
1571,1.6353245014832474,1.9359720130464058
1574,1.8290897833512563,1.9397773599819632
1577,1.8278377876563465,1.902973428987037
1580,2.032171177214899,2.0120750029541155
