t_epoch,phase,sweep_idx,a_cmd_us,b_cmd_us,a_cmd_norm,b_cmd_norm,t_stm_ms,Fx_raw,Fy_raw,Fz_raw,Tx_raw,Ty_raw,Tz_raw,Fx,Fy,Fz,Tx,Ty,Tz,force_count,torque_count
1785434859.6868815,idle_pre,0,1000,1000,0.0,0.0,8276448,-1.319,-1.917,-1.8840000000000001,0.128,-0.062,-0.02,0.18295209580838434,-0.16599999999999993,-0.1341277445109772,0.010978043912175842,0.008918163672654772,0.00011377245508981462,20,20
1785434859.6869037,idle_pre,0,1000,1000,0.0,0.0,8276468,-1.226,-1.841,-1.678,0.123,-0.043000000000000003,-0.017,0.2759520958083843,-0.08999999999999986,0.07187225548902298,0.005978043912175837,0.027918163672654768,0.003113772455089814,21,21
1785434859.6869185,idle_pre,0,1000,1000,0.0,0.0,8276488,-0.867,-1.8920000000000001,-1.858,0.126,-0.018000000000000002,-0.017,0.6349520958083843,-0.14100000000000001,-0.10812774451097718,0.00897804391217584,0.05291816367265477,0.003113772455089814,19,19
1785434859.737021,idle_pre,0,1000,1000,0.0,0.0,8276508,-1.508,-1.478,-1.7850000000000001,0.096,-0.077,-0.016,-0.006047904191615716,0.27300000000000013,-0.03512774451097722,-0.02102195608782416,-0.0060818363273452275,0.004113772455089815,20,20
1785434859.7370384,idle_pre,0,1000,1000,0.0,0.0,8276528,-1.615,-1.729,-1.92,0.11900000000000001,-0.081,-0.021,-0.1130479041916157,0.02200000000000002,-0.170127744510977,0.0019780439121758475,-0.010081836327345231,-0.0008862275449101863,20,20
1785434859.7871206,idle_pre,0,1000,1000,0.0,0.0,8276548,-1.684,-1.99,-1.809,0.132,-0.084,-0.021,-0.18204790419161565,-0.23899999999999988,-0.05912774451097702,0.014978043912175845,-0.013081836327345234,-0.0008862275449101863,20,20
1785434859.7871337,idle_pre,0,1000,1000,0.0,0.0,8276568,-1.52,-1.727,-1.838,0.111,-0.07100000000000001,-0.018000000000000002,-0.018047904191615727,0.02400000000000002,-0.08812774451097716,-0.00602195608782416,-8.183632734523605e-05,0.002113772455089813,20,20
1785434859.7871451,idle_pre,0,1000,1000,0.0,0.0,8276588,-1.278,-1.7830000000000001,-1.725,0.121,-0.057,-0.02,0.22395209580838427,-0.03200000000000003,0.024872255489022832,0.003978043912175835,0.01391816367265477,0.00011377245508981462,20,20
1785434859.8372283,idle_pre,0,1000,1000,0.0,0.0,8276608,-1.42,-1.946,-1.6620000000000001,0.131,-0.061,-0.023,0.08195209580838436,-0.19499999999999984,0.08787225548902278,0.013978043912175844,0.009918163672654773,-0.0028862275449101846,20,20
1785434859.837243,idle_pre,0,1000,1000,0.0,0.0,8276628,-1.708,-1.792,-1.7630000000000001,0.12,-0.089,-0.021,-0.20604790419161567,-0.040999999999999925,-0.013127744510977202,0.0029780439121758345,-0.018081836327345224,-0.0008862275449101863,20,20
1785434859.8873217,idle_pre,0,1000,1000,0.0,0.0,8276648,-1.55,-1.6400000000000001,-1.738,0.109,-0.068,-0.019,-0.04804790419161575,0.11099999999999999,0.011872255489022931,-0.008021956087824161,0.0029181636726547666,0.0011137724550898155,20,20
1785434859.887334,idle_pre,0,1000,1000,0.0,0.0,8276668,-1.292,-1.803,-1.6420000000000001,0.109,-0.05,-0.017,0.20995209580838425,-0.051999999999999824,0.1078722554890228,-0.008021956087824161,0.02091816367265477,0.003113772455089814,20,20
1785434859.887345,idle_pre,0,1000,1000,0.0,0.0,8276688,-1.465,-1.736,-1.78,0.11900000000000001,-0.067,-0.021,0.03695209580838421,0.015000000000000124,-0.030127744510977106,0.0019780439121758475,0.0039181636726547675,-0.0008862275449101863,20,19
