seq,amp_us,final_deg,model,fitted_delay_ms,direct_onset_ms,tau_ms,wn_rad_s,zeta,bandwidth_hz,rise_10_90_ms,settling_2pct_ms,overshoot_pct,peak_slew_dps,tail_angle_rms_deg,tail_rate_rms_dps,ring_frequency_hz,residual_pct,settled,pre_noise_dps
0,8,-0.5927792071329742,2nd,32.55875165095536,14.969999999999928,,54.26834200970534,0.39288860198813863,11.927144952600681,41.99900000000012,683.9709999999997,26.581695318457044,14.852998134736357,0.0013472585112783851,0.19623738917639313,,2.5770472657879617,True,0.1967962375490782
1,-7,0.5467313118861261,2nd,31.608812249002792,15.969999999999374,,53.19857925960038,0.5126982166622357,10.646167231865178,43.999999999999595,434.96999999999986,19.92656421591704,11.562109633870936,0.001394370294098351,0.18074207069947223,,2.6326494495720367,True,0.17756235566252543
2,17,-1.046451598015346,2nd,39.59919551311898,9.969999999999146,,43.83891281755435,0.28275255109491837,10.221398694133896,50.999000000000905,448.97100000000023,43.986627240335466,24.64658850918804,0.002359968914327296,0.18888823111155179,,3.01554720930298,True,0.16564252543087382
3,-15,0.8747117721375626,2nd,24.324329358777604,15.971000000000402,,36.46487879741651,0.24496809477849985,8.6315918951136,38.9999999999997,514.9710000000009,56.36169006744295,23.296328220264577,0.0018043000031445695,0.2015078561073652,,4.172288601379814,True,0.1881293886331793
4,42,-2.526463408144192,2nd,29.22951143248666,8.969999999997924,,38.78631208520327,0.19200786805503278,9.340146541749988,41.000999999997845,457.9710000000006,48.326277206392156,65.09023124097325,0.001351067418341413,0.19285447875655018,,2.96416125927338,True,0.18126421349562113
5,-37,2.282382203722414,2nd,27.689791011567866,12.96999999999926,,36.54430089433632,0.15537700697409934,8.882262428896242,40.99899999999934,657.9699999999989,50.9906705364068,52.131350997993415,0.0017629690870538985,0.188130156465291,,3.244530119441072,True,0.20562870845024234
6,85,-5.253739409725823,2nd,32.901444291965916,8.970000000001477,,43.87778091230047,0.1960711495294902,10.553998987834815,42.00000000000159,459.97000000000196,36.6572689943324,131.08831167412347,0.0029898609024221344,0.22990088639797848,,4.259757442008135,True,0.175494948972974
7,-75,5.31010732128088,2nd,27.267920524814617,9.971000000000174,,36.42497152298505,0.1881742240027422,8.780888467249678,46.00000000000293,819.9700000000014,33.715563689670766,108.1827210914213,0.0016738465594680768,0.1841354358461149,,5.086953431903156,True,0.1890662364746783
8,153,-7.985652980579738,2nd,36.27905006014416,7.970000000000255,,70.64567816170234,0.21695571116029386,16.884704957732477,33.000999999998726,611.9699999999995,20.235345382177243,258.7649435988726,0.0008767413826272186,0.18292931898161027,,5.693920048519616,True,0.18842714654428
9,-135,9.113271473352242,2nd,27.54762315073573,6.968999999998005,,47.34987246347788,0.20618225427189468,11.355092010309942,39.00000000000148,942.9699999999955,27.42540929867469,217.91804630587347,0.002103604228956467,0.18728999613428335,,7.054575735400748,True,0.19827133421104678
