seq,amp_us,final_deg,model,fitted_delay_ms,direct_onset_ms,tau_ms,wn_rad_s,zeta,bandwidth_hz,rise_10_90_ms,settling_2pct_ms,overshoot_pct,peak_slew_dps,tail_angle_rms_deg,tail_rate_rms_dps,ring_frequency_hz,residual_pct,settled,pre_noise_dps
0,26,0.9665399004183173,2nd,40.16289831280661,12.969999999999926,,52.79508010267934,0.15355886491153498,12.837310617299037,44.00000000000004,590.9710000000001,41.178160756681,27.123652324658714,0.001955110949035301,0.19308760702575845,,6.001482074934376,True,0.17935480128811235
1,-10,-0.4618447365144143,2nd,24.74525663268042,14.970000000000816,,66.17447178951038,0.418786666217062,14.292133588411279,31.000999999999834,440.97100000000023,25.383846173626168,15.188891769684655,0.0013953530461244437,0.17836765939923283,,2.1842922674450405,True,0.17405634806428796
2,52,2.08994868002646,2nd,46.464718036986504,7.970999999999506,,49.17576903137028,0.3807468807329312,10.891358711298384,57.99999999999983,422.9699999999994,24.316383763339395,37.80369426820255,0.002367462685763498,0.21104224616540238,,4.689085421817017,True,0.18793442985780415
3,-21,-0.7521293499441435,2nd,22.74915088441268,14.971000000000956,,57.13688033915961,0.36922914811693264,12.743646854193242,30.00100000000039,284.9710000000005,27.59817998513054,24.890165487891707,0.0015308586499329611,0.19044831785420346,,2.212995371617719,True,0.1912070361119822
4,130,4.859384264587663,2nd,33.17139026610465,7.970000000000255,,50.61130469761373,0.30631074239928785,11.674866783911309,38.000000000000256,292.97000000000037,26.221923919350814,118.51852168232821,0.001045396952908599,0.18716594016312277,,3.6965260934945534,True,0.17384031767987979
5,-52,-2.2823036782180135,2nd,12.044055682628741,8.969999999997924,,33.394102690642846,0.2710499964111375,7.824714896881383,34.00099999999995,310.9709999999985,59.832369461541624,62.001084609112354,0.0013643072046044694,0.18373924783951345,,3.9702208552512928,True,0.18451443678596874
6,260,9.302635284458875,2nd,35.411566782803355,7.970000000000255,,64.248441227435,0.2484489385414271,15.188618608917215,29.99900000000011,363.9700000000019,22.272914506925922,285.80032935006597,0.0011121769832215037,0.2205763807780034,,4.792039213632486,True,0.1893923175633555
7,-105,-4.797657458020414,2nd,23.156419294086945,9.969999999999146,,46.18142222778679,0.23453604712061996,10.972618404863276,35.00099999999762,441.9700000000013,39.3653660085107,135.78352386692453,0.0010542681689543487,0.20096508312947983,,3.570906759089425,True,0.18739414645479288
8,468,14.20336165651323,2nd,40.79504690582874,8.969999999997924,,81.70208145209173,0.6560234665742214,13.937910119931676,33.99999999999892,251.97000000000003,11.08485158373911,401.23812417854236,0.0011686558574136169,0.19642653370398946,,2.868765022358432,True,0.17846683701887214
9,-189,-8.569493327272049,2nd,25.28025168934277,7.971000000004835,,59.514224657182744,0.2307243556494691,14.159195560612687,30.99900000000133,535.9699999999989,23.303004810554487,258.53450981625747,0.002206342459622,0.18846508665478065,,5.668969465248383,True,0.17967654830315152
