dir,center_idx,center_us,deadband_us,local_gain_deg_per_us,resolution_deg
kdn,0,1520,0,7.906411154564392e-05,0.0
kdn,1,1520,0,-0.001954817051051155,0.0
kdn,2,1520,0,0.002294778030920239,0.0
kup,0,1520,0,-0.0001104745726128183,0.0
kup,1,1520,0,-0.002124500518389074,0.0
kup,2,1520,0,0.002050238624428867,0.0
