pass_,seq,pulse_us,theta_deg,theta_sd,theta_cross_deg,n,creep_dps,settled
dn,0,1520,8.374962634713494,0.3549737916101161,0.14055488547195522,50,-1.0247057900731056,False
dn,1,1520,8.245027235023382,0.21550460610813524,0.06292687262754385,50,0.13401469360148316,True
dn,2,1520,8.06755703722175,0.22120870230954381,0.03505389934148354,50,-0.003169144105615313,True
dn,3,1520,7.846964413863607,0.19989035422016443,0.02355049100960003,50,-0.49964563251340655,True
dn,4,1520,7.5459987279768,0.3549987021077712,-0.03318196005686218,50,1.2339147792476388,False
dn,5,1520,7.279468461777366,0.48946420271518165,0.14392630447821317,50,1.2725418856273216,False
dn,6,1520,6.746615646522008,0.45274985692786374,0.11434790568250833,50,-1.9497619454034882,False
dn,7,1520,6.340857428751018,0.3608924122982842,0.011618150004259179,50,-0.8053382655188395,False
dn,8,1520,5.78958076805187,0.3338235197436343,0.029921940641900166,50,-0.8361053224088085,False
dn,9,1520,5.186224083517649,0.2963800820798759,0.0330092211270511,50,0.46612043879968096,True
dn,10,1520,4.742792208046911,0.40407827770195326,0.07354442511891476,50,-0.45500322039650315,True
dn,11,1520,4.123789607334734,0.4296348611337032,0.11193141137075542,50,-0.19507442926750138,True
dn,12,1520,3.6358337833505736,0.41164633742576806,-0.06948489360732026,50,-1.8198859310834243,False
dn,13,1520,2.773920360289979,0.1856825861264044,0.015195688419150316,50,-0.013394725836391598,True
dn,14,1520,2.237959722994991,0.38188020320659755,-0.02931803376047526,50,-0.7970402237730596,False
dn,15,1520,1.8206038834951677,0.370215122793942,-0.04379866923596751,50,0.0053303225779216465,True
dn,16,1520,1.2186709458634022,0.39756801316048607,-0.04030978117797417,50,0.2220999561536481,True
dn,17,1520,0.3935057807838678,0.2313581207828617,-0.05122619318191425,50,-0.43274601421000136,True
dn,18,1520,-0.42072206068391155,0.20854917002070064,0.04243137676037975,50,-0.27007208786538156,True
dn,19,1520,-0.757802027428113,0.22207228556816733,-0.09444457910360143,50,-0.20884497541393998,True
dn,20,1520,-1.2100871132541953,0.24178721819475674,-0.08440035252121164,50,-0.9377930636402537,False
dn,21,1520,-1.7570117990918606,0.20438873420998316,-0.04771282853876584,50,0.14896324910265507,True
dn,22,1520,-2.338409617591004,0.24200813934279236,-0.08715483323270291,50,0.08976904917817646,True
dn,23,1520,-3.0310285895171782,0.20863817860638262,-0.014927605320024212,50,0.6600045061369163,False
dn,24,1520,-3.692299834864215,0.18724513969545203,-0.03014705663218649,50,-0.10779599139579035,True
dn,25,1520,-4.282482867424579,0.19981114659759186,-0.0623981625466024,50,0.373763449232919,True
dn,26,1520,-5.031044667094778,0.22199368638169,-0.13916915064181581,50,0.14989688087015923,True
dn,27,1520,-5.791379584859584,0.24851833677852517,-0.08382115532376475,50,0.6682486702052326,False
dn,28,1520,-6.545245660918278,0.22937274545707761,-0.12665511030350898,50,0.047144942357682185,True
dn,29,1520,-6.886417166834909,0.21883273448926213,-0.17252543271375373,50,-0.2458793299162319,True
dn,30,1520,-7.515907272591206,0.16697302220848018,-0.16690110515907747,50,-0.0037008955831985815,True
dn,31,1520,-7.911209664867612,0.211237708102389,-0.10666012944937052,50,0.03217235080870175,True
dn,32,1520,-8.484956462980938,0.1697104333400711,-0.08165807763667658,50,0.30971631129797716,True
dn2,0,1520,8.397393008937957,0.4157328179430839,0.1091896857785315,50,-0.3472815722245122,True
dn2,1,1520,8.223748426697343,0.1701988273525155,0.035923205246416505,50,-0.6229738146195556,False
dn2,2,1520,8.017444544008013,0.20269250231539465,-0.03696746007446507,50,0.5558946173182691,False
dn2,3,1520,7.871867649497057,0.18925180909814324,0.005315898199820595,50,-0.4313490934401131,True
dn2,4,1520,7.574022118420702,0.2932348824336732,-0.043043257711328234,50,-0.2811044450452222,True
dn2,5,1520,7.17385705224087,0.4721935184644337,-0.06573202500484285,50,-0.5937606920271042,False
dn2,6,1520,6.691651502320982,0.3942326612726817,-0.005372130229421258,50,-0.498547657982004,True
dn2,7,1520,6.328684793804883,0.3170842659418196,0.03714436104356992,50,0.8406322315262243,False
dn2,8,1520,5.837216866971249,0.3822924639835171,0.00737290728318442,50,0.5535537731707089,False
dn2,9,1520,5.287135703335499,0.4558660429445999,-0.012954252061431928,50,-1.00396460736751,False
dn2,10,1520,4.6449972993590265,0.405256501633628,0.008938531869027317,50,-0.26309833333595845,True
dn2,11,1520,4.169865187813481,0.21666485974073474,-0.08160258692424521,50,0.3583174575555953,True
dn2,12,1520,3.6624402214454896,0.23527552709366,-0.03685397360337845,50,0.3584376540297494,True
dn2,13,1520,2.7916856956018608,0.23290885150053775,-0.039848161765186206,50,-0.27752692360780407,True
dn2,14,1520,2.2713954953226403,0.4177706505607226,-0.08979665821338018,50,-0.6023030329484063,False
dn2,15,1520,1.7717779115309753,0.4201657281878249,-0.05218712332718439,50,0.23693560182936838,True
dn2,16,1520,1.0890971332696848,0.41671140846904414,-0.11790912143797698,50,0.38405563288130745,True
dn2,17,1520,0.471101694244129,0.19618642087934668,-0.045473280399763776,50,-0.6286236549465984,False
