dir,seq,pulse_us,theta_deg,sd,n
kdn,81,1520,1.7211270472947104,0.18525225770317505,13
kdn,82,1520,1.8176072659984515,0.1980187139199512,13
kdn,83,1520,1.7489515116547545,0.37334085023425667,13
kdn,84,1520,1.8134827199361392,0.18965775130030654,13
kdn,85,1520,1.8437624007192754,0.17522077659478857,13
kdn,86,1520,1.8942798223484767,0.30066660696993097,13
kdn,87,1520,1.8143495267694552,0.2918098303276855,13
kdn,88,1520,1.5925128973872409,0.2671100028960369,13
kdn,89,1520,1.6337218423085285,0.2488971231442851,13
kdn,90,1520,1.659224855987444,0.24339783692155592,13
kdn,91,1520,1.552454721005734,0.18207244592308727,13
kdn,92,1520,1.692994977382459,0.32059504408347467,13
kdn,93,1520,1.499004826486592,0.18861709117284556,13
kdn,94,1520,1.5807221458931098,0.22541993284226652,13
kdn,95,1520,1.6568991789953686,0.22074950310187338,13
kdn,96,1520,1.4957749746337863,0.21274370958757222,13
kdn,97,1520,1.4774495481845367,0.17857672023512827,13
kdn,98,1520,1.5209910765027486,0.21133799789615101,13
kdn,99,1520,1.399293328135717,0.17676960503727554,13
kdn,100,1520,1.530492785172907,0.26094884445555505,13
kdn,101,1520,1.433425613699733,0.2156029781648507,13
kdn,102,1520,1.2054537294793044,0.22781543228442008,13
kdn,103,1520,1.4843256943716943,0.18144338271035085,13
kdn,104,1520,1.3969962240173528,0.23351534227142529,13
kdn,105,1520,1.130099622712683,0.18568188668480562,13
kdn,106,1520,1.1057747798897817,0.1921855287092112,13
kdn,107,1520,1.0692211406012093,0.25544947971832643,13
kdn,108,1520,0.9314079197666951,0.28247914242562183,13
kdn,109,1520,1.0954572585410942,0.18412495577776963,13
kdn,110,1520,0.9709032598010743,0.304344198915575,13
kdn,111,1520,0.8413659768396717,0.3598993214149279,13
kdn,112,1520,1.0214787348638459,0.32932834857333754,13
kdn,113,1520,1.1405551016250859,0.3145366165180472,13
kdn,114,1520,1.041754283094865,0.6651794317834133,13
kdn,115,1520,0.7457318602346101,0.3405945080334082,13
kdn,116,1520,0.6855335112413085,0.33842506118027144,13
kdn,117,1520,0.4507986997506154,0.29203134431626787,13
kdn,118,1520,0.456722144829714,0.2778552468655217,13
kdn,119,1520,0.430804473340299,0.26817193974257253,13
kdn,120,1520,0.531917261522151,0.22438302563952495,13
kdn,121,1520,0.3845908941170666,0.21171595946708796,13
kdn,122,1520,0.21256111553964274,0.39430638051235434,13
kdn,123,1520,0.07237037309496504,0.16096361977366944,13
kdn,124,1520,0.14329389835972522,0.1850483037417399,13
kdn,125,1520,0.006643895805504703,0.1286332142552031,13
kdn,126,1520,0.09671230781012898,0.23031044895165018,13
kdn,127,1520,0.05427386816852767,0.19975083774520133,13
kdn,128,1520,-0.08418577805445054,0.2561932468110549,13
kdn,129,1520,-0.1995851691239855,0.2514238354263574,13
kdn,130,1520,-0.08217198351798717,0.23109607846861577,13
kdn,131,1520,-0.4242228247281463,0.33621580307429366,13
kdn,132,1520,-0.366243269174165,0.15796078162102092,13
kdn,133,1520,-0.3030578727050244,0.220474264697637,13
kdn,134,1520,-0.49100027497950605,0.2488432028925771,13
kdn,135,1520,-0.4805286889661099,0.19214763030185722,13
kdn,136,1520,-0.4653355809531398,0.2571734473422489,13
kdn,137,1520,-0.6806515639996331,0.28324528787160375,13
kdn,138,1520,-0.7214716001015364,0.2442975532482277,13
kdn,139,1520,-0.6111833236378809,0.283325513649278,13
kdn,140,1520,-0.6729350155934919,0.21382736870527724,13
kdn,141,1520,-0.7843540086666044,0.24047440274922383,13
kdn,142,1520,-0.7412518910439763,0.1764426015535336,13
kdn,143,1520,-1.1525254894828527,0.20677184696650897,13
kdn,144,1520,-0.9980664439758541,0.2906166395587618,13
kdn,145,1520,-1.1113898090598648,0.21331821980231777,13
kdn,146,1520,-1.1729946507608133,0.22266729333882856,13
kdn,147,1520,-1.1959463777475672,0.12854199624689702,13
kdn,148,1520,-1.0597471375191236,0.22902548834680916,13
kdn,149,1520,-1.3035300712051463,0.255493642704331,13
kdn,150,1520,-1.1869928784193353,0.23959202992801365,13
kdn,151,1520,-1.1321844785047732,0.21368292344415268,13
kdn,152,1520,-1.3876263792406707,0.2738775345184898,13
kdn,153,1520,-1.4290453136630106,0.18856866606857942,13
kdn,154,1520,-1.3980712052510067,0.25559534106458254,13
kdn,155,1520,-1.556947964035054,0.1725007079382585,13
kdn,156,1520,-1.7066823825205206,0.1975112028729446,13
kdn,157,1520,-1.69236854400026,0.1526248178880914,13
kdn,158,1520,-1.8086726482351791,0.25103803283006487,13
kdn,159,1520,-1.6757520785917257,0.16775314939058097,13
kdn,160,1520,-1.8042799002364693,0.18319469494752735,13
kdn,161,1520,-1.735521671221573,0.2001792640809188,13
kdn,1081,1520,-4.022705466876494,0.23021479060562633,13
kdn,1082,1520,-3.926965381156317,0.18898569512214905,13
kdn,1083,1520,-4.034748435966365,0.27983099508708015,13
kdn,1084,1520,-3.9783980554830474,0.22733389887524208,13
kdn,1085,1520,-3.9541032273921335,0.181675196087192,13
kdn,1086,1520,-3.9996080304840427,0.18581391605898118,13
kdn,1087,1520,-4.257367162957883,0.2300638914255611,13
kdn,1088,1520,-4.2471748361988375,0.18500284748069587,13
kdn,1089,1520,-4.286333352951767,0.20516582002775402,13
kdn,1090,1520,-4.239622976010012,0.2381329775476606,13
kdn,1091,1520,-4.035288384101477,0.22136310269000944,13
kdn,1092,1520,-4.224813184815135,0.1796093054522175,13
kdn,1093,1520,-4.388989588803645,0.2019793741062054,13
kdn,1094,1520,-4.375360942794557,0.24828348837166106,13
kdn,1095,1520,-4.32259097121686,0.259614984779396,13
kdn,1096,1520,-4.324989599696585,0.2702387765040685,13
kdn,1097,1520,-4.4218923287639536,0.26230832136356896,13
kdn,1098,1520,-4.355210139912497,0.18850339118005283,13
kdn,1099,1520,-4.4828945509609985,0.2713145454035777,13
kdn,1100,1520,-4.602329204428683,0.17841355619094923,13
kdn,1101,1520,-4.552090239211138,0.15971135272306677,13
kdn,1102,1520,-4.748755584660706,0.18659840319312623,13
kdn,1103,1520,-4.756575507121029,0.16397450236160407,13
kdn,1104,1520,-4.672521164698808,0.2610047741648505,13
kdn,1105,1520,-4.903885405274248,0.12848564467928836,13
kdn,1106,1520,-4.947223803749178,0.2686677358992955,13
kdn,1107,1520,-5.04091222626394,0.16288860636015629,13
kdn,1108,1520,-5.1191702663398315,0.26171169472990813,13
kdn,1109,1520,-5.0461276458896425,0.19980650577592818,13
kdn,1110,1520,-5.103604432659442,0.16340066345677265,13
kdn,1111,1520,-5.165139102718119,0.2025859600406982,13
kdn,1112,1520,-5.2355036239463555,0.25874047748729045,13
kdn,1113,1520,-5.36028859863608,0.2742006477258433,13
kdn,1114,1520,-5.540077043342675,0.17832156344708863,13
kdn,1115,1520,-5.488870952236364,0.2626631181327728,13
kdn,1116,1520,-5.757784616927543,0.2691152530438508,13
kdn,1117,1520,-5.773094449965802,0.2422878684665748,13
kdn,1118,1520,-5.733427827930925,0.23809203914792731,13
kdn,1119,1520,-6.010763505974619,0.2796235838609319,13
kdn,1120,1520,-5.897073431077379,0.19543543385962125,13
kdn,1121,1520,-6.017716510729158,0.292713898727973,13
kdn,1122,1520,-6.0907091569165726,0.2822545982690965,13
kdn,1123,1520,-6.278422547493978,0.12106999749527098,13
kdn,1124,1520,-6.079387387282002,0.16567387181043042,13
kdn,1125,1520,-6.651893354109339,0.33525632178842224,13
kdn,1126,1520,-6.3551516137167186,0.2076542733921345,13
kdn,1127,1520,-6.562027714244603,0.18158980581106746,13
kdn,1128,1520,-6.600929069781264,0.2068404635474804,13
kdn,1129,1520,-6.637182679450147,0.21842475179570262,13
kdn,1130,1520,-6.639031962192252,0.21740483317446663,13
kdn,1131,1520,-6.80073105918171,0.20358167040016087,13
kdn,1132,1520,-6.664916241813085,0.22554089249026715,13
kdn,1133,1520,-6.780627573288912,0.2374537348586817,13
kdn,1134,1520,-6.775957950888719,0.20797900084124502,13
kdn,1135,1520,-6.810315096548729,0.19745199763553858,13
kdn,1136,1520,-6.778509131675351,0.23135599481030586,13
kdn,1137,1520,-6.927880114947768,0.3680662703046777,13
kdn,1138,1520,-6.96315244525444,0.27778206709083847,13
kdn,1139,1520,-6.984623226904118,0.1508346001695576,13
kdn,1140,1520,-7.142112866024884,0.2779803506079927,13
kdn,1141,1520,-7.042922150004581,0.16082248393547227,13
kdn,1142,1520,-6.940662565048569,0.15855618606737598,13
kdn,1143,1520,-7.334019705725434,0.1828926266870698,13
kdn,1144,1520,-7.254484230892952,0.2674251268589609,13
kdn,1145,1520,-7.102174114238035,0.3116795492077922,13
kdn,1146,1520,-7.448145181158618,0.24365804524513923,13
kdn,1147,1520,-7.21091755775585,0.2807296760042548,13
kdn,1148,1520,-7.336032531029122,0.18168407016275998,13
kdn,1149,1520,-7.475735667334177,0.19582221258580654,13
kdn,1150,1520,-7.568211183873543,0.1609282536991787,13
kdn,1151,1520,-7.764240086594284,0.23544545803418937,13
kdn,1152,1520,-7.680043476667335,0.20081982342833316,13
kdn,1153,1520,-7.702434722815164,0.26110477743362664,13
kdn,1154,1520,-7.831224304752857,0.15058620685164956,13
kdn,1155,1520,-7.878946919397374,0.23912518397984625,13
kdn,1156,1520,-7.8945161523134155,0.27096213192895574,13
kdn,1157,1520,-7.862960835352615,0.20176236854693236,13
kdn,1158,1520,-7.861140151788977,0.24852461757373218,13
kdn,1159,1520,-7.921428944736861,0.1950030868687833,13
kdn,1160,1520,-8.118138748668152,0.22091311047636752,13
kdn,1161,1520,-8.250218468649337,0.24030483925491114,13
kdn,2081,1520,7.977546701000766,0.21642428873000452,13
kdn,2082,1520,7.964246940095294,0.10876277389517265,13
kdn,2083,1520,8.027634241942827,0.20265807417678333,13
kdn,2084,1520,8.067743001726964,0.1642571288841219,13
kdn,2085,1520,8.073051669321313,0.1840338233349023,13
kdn,2086,1520,7.970890257190746,0.25125167315760183,13
kdn,2087,1520,8.016364589456831,0.23100463725284606,13
kdn,2088,1520,7.875144313812071,0.24975865748744153,13
kdn,2089,1520,7.886876726642262,0.17744882210463983,13
kdn,2090,1520,7.967683815284746,0.27945101581968446,13
kdn,2091,1520,7.803442486167368,0.20258156967179958,13
kdn,2092,1520,7.910185840603257,0.20070208451186297,13
kdn,2093,1520,7.879638216450852,0.3309699297616891,13
kdn,2094,1520,7.7624735307042005,0.21369115963551824,13
kdn,2095,1520,7.70134535055419,0.17277751713486145,13
kdn,2096,1520,8.013093014925557,0.2019347160905228,13
kdn,2097,1520,7.76100648318973,0.20988263589927195,13
kdn,2098,1520,7.802580289005251,0.22105863072540807,13
kdn,2099,1520,7.7105548932741454,0.2530433611511123,13
kdn,2100,1520,7.964509482487898,0.20287299146499788,13
kdn,2101,1520,7.705837975731787,0.16365787236329368,13
kdn,2102,1520,7.700371530853944,0.21619919401640691,13
kdn,2103,1520,7.674146162336408,0.18292729972936791,13
kdn,2104,1520,7.703571179644712,0.2917982682707314,13
kdn,2105,1520,7.633360567589436,0.18909257061992835,13
kdn,2106,1520,7.802473386871067,0.2421195637482754,13
kdn,2107,1520,7.631872467395998,0.24412509394983764,13
kdn,2108,1520,7.5807846542343915,0.22218516486807435,13
kdn,2109,1520,7.578703431524347,0.19691935065374613,13
kdn,2110,1520,7.501854558403398,0.30149475963027417,13
kdn,2111,1520,7.492121997275291,0.28656836349236237,13
kdn,2112,1520,7.566052275517148,0.18392050288049874,13
kdn,2113,1520,7.223771352943507,0.3323406499879576,13
kdn,2114,1520,7.479499637821039,0.18367105449597376,13
kdn,2115,1520,7.407729293687073,0.2829710859727755,13
kdn,2116,1520,7.306417778298864,0.3962726207445673,13
kdn,2117,1520,7.205512479483653,0.5126276142248877,13
kdn,2118,1520,7.145817025060139,0.41545121907137555,13
kdn,2119,1520,6.949371876065671,0.5221022389050147,13
kdn,2120,1520,7.098565796588305,0.4380048858912769,13
kdn,2121,1520,7.0774136416591595,0.5702551361206983,13
kdn,2122,1520,6.882460953324882,0.5480857463817823,13
kdn,2123,1520,6.915482458587429,0.3572572612010101,13
kdn,2124,1520,6.966569697294038,0.38909323412141383,13
kdn,2125,1520,6.800806655297576,0.41327721830832687,13
kdn,2126,1520,6.958583971768674,0.40622979764747796,13
kdn,2127,1520,6.9643319219390145,0.4606317267935089,13
kdn,2128,1520,7.0012324221583135,0.30935360615375285,13
kdn,2129,1520,6.847369562474479,0.3856235896083477,13
kdn,2130,1520,6.842866895657474,0.3889345444066205,13
kdn,2131,1520,6.818488765231645,0.48967405995194474,13
kdn,2132,1520,6.628859568566653,0.45002484817838984,13
kdn,2133,1520,6.8035719289661625,0.40207398138073797,13
kdn,2134,1520,6.605893950488092,0.2936771270097489,13
kdn,2135,1520,6.434304110406204,0.41261506038812495,13
kdn,2136,1520,6.473258515938797,0.39074552194084217,13
kdn,2137,1520,6.545697676065259,0.5824066345647758,13
kdn,2138,1520,6.390135352561517,0.4756281241819846,13
kdn,2139,1520,6.362092209596631,0.23913916728463896,13
kdn,2140,1520,6.297247469373087,0.5328536077142967,13
kdn,2141,1520,6.484401014867057,0.3932279964390445,13
kdn,2142,1520,6.207848102062572,0.6051852531839095,13
kdn,2143,1520,6.182227196796768,0.5455582808877005,13
kdn,2144,1520,6.301165190714506,0.34146758144089356,13
kdn,2145,1520,6.3094256098214405,0.5363982262993461,13
kdn,2146,1520,6.039876823892303,0.6698686037165547,13
kdn,2147,1520,6.04863773610853,0.387797185496421,13
kdn,2148,1520,6.0031382580635295,0.42537436418674157,13
kdn,2149,1520,5.927903017028779,0.5149519305381158,13
kdn,2150,1520,6.10057241911473,0.31408068647327425,13
kdn,2151,1520,5.835724195351006,0.6372176706006091,13
kdn,2152,1520,5.832820850471093,0.3398679909454785,13
kdn,2153,1520,5.850864723750955,0.3641493313329231,13
kdn,2154,1520,5.849604993155605,0.37893528052680225,13
kdn,2155,1520,5.484366225233823,0.36597972508965354,13
kdn,2156,1520,5.592502497283415,0.3310339497676934,13
kdn,2157,1520,5.606855964755941,0.404188693881801,13
kdn,2158,1520,5.447493356147963,0.33073462522996444,13
kdn,2159,1520,5.408007655558189,0.3629549071723537,13
kdn,2160,1520,5.303829163443094,0.31052012149986774,13
kdn,2161,1520,5.108362341660635,0.33457901048868954,13
kup,0,1520,-2.238721338218686,0.10401178052914063,13
kup,1,1520,-2.098395225950928,0.35688340035129723,13
kup,2,1520,-2.0265026660107335,0.17561534127365275,13
kup,3,1520,-2.0812616252604985,0.19618784688338745,13
kup,4,1520,-1.7329199180945698,1.8415354761186216,13
kup,5,1520,-2.034583366212578,0.36947354884168077,13
kup,6,1520,-1.996665249624558,0.1527116560611987,13
kup,7,1520,-1.9881238116310773,0.18185719809590717,13
kup,8,1520,-2.1477160802786908,0.21232094348643704,13
kup,9,1520,-1.9109053721290628,0.1649154386112053,13
kup,10,1520,-1.878193770772196,0.20462734598316987,13
kup,11,1520,-1.7559173303935023,0.20206454785038105,13
kup,12,1520,-1.7765338997645586,0.2607202046570411,13
kup,13,1520,-1.7374644630266665,0.24977428618009573,13
kup,14,1520,-1.7403987357466453,0.15811717108534162,13
kup,15,1520,-1.615794847483786,0.2463516665276327,13
kup,16,1520,-1.6591030720208244,0.1994851524776266,13
kup,17,1520,-1.684319532583861,0.31669351660177314,13
kup,18,1520,-1.7623827704004236,0.16546785330470365,13
kup,19,1520,-1.4844611002967554,0.19681254056598008,13
kup,20,1520,-1.5567759856815564,0.21283040577024798,13
kup,21,1520,-1.5563422073651492,0.20126228675307858,13
kup,22,1520,-1.4430089881592385,0.21248208888484343,13
kup,23,1520,-1.469693542205553,0.19519768127294584,13
kup,24,1520,-1.4622174269408192,0.2313639859702409,13
kup,25,1520,-1.2559478836482776,0.24545414593236412,13
kup,26,1520,-1.2000564765578605,0.19046971468746687,13
kup,27,1520,-1.1753243248818246,0.20591111174304555,13
kup,28,1520,-1.1893453425814624,0.16823587866400125,13
kup,29,1520,-1.1651155481565638,0.21213217007053123,13
kup,30,1520,-1.2327345410547799,0.23414165163888018,13
kup,31,1520,-0.7751254433839956,0.21118313689481633,13
kup,32,1520,-0.8140078367876549,0.1702861145959333,13
kup,33,1520,-0.8077016737051219,0.11735671499963578,13
kup,34,1520,-0.599924767794341,0.3300238234810826,13
kup,35,1520,-0.6645474530654755,0.6245910561631887,13
kup,36,1520,-0.6156820378020489,0.31599640279049473,13
kup,37,1520,-0.3380890030193659,0.681338362247214,13
kup,38,1520,-0.3632544686243587,0.2843772354757546,13
kup,39,1520,-0.3094089634174351,0.23103928453173156,13
kup,40,1520,-0.23830173519580347,0.2047072476366243,13
kup,41,1520,-0.36557063137654977,0.1975786417552337,13
kup,42,1520,-0.3143811001550515,0.2577916301756635,13
kup,43,1520,-0.02622844337641849,0.26762643392324836,13
kup,44,1520,-0.09474271365990297,0.24009819766372248,13
kup,45,1520,-0.09372835506631269,0.15152542886919795,13
kup,46,1520,-0.11857903964341378,0.2735064335018159,13
kup,47,1520,-0.0764068401699835,0.22140847467165187,13
kup,48,1520,-0.024562567091934922,0.14304058026458613,13
kup,49,1520,0.045698960182094725,0.13788003831303486,13
kup,50,1520,-0.047832706071412406,0.14799635179141404,13
kup,51,1520,0.47116354544923833,0.243844016667338,13
kup,52,1520,0.5229073634740626,0.22000499646734803,13
kup,53,1520,0.36834439223419113,0.20662354393166965,13
kup,54,1520,0.42804674742084087,0.32002755392242777,13
kup,55,1520,0.5574354485344071,0.23046319987784572,13
kup,56,1520,0.551040421642024,0.23910843210637636,13
kup,57,1520,0.5652483265956965,0.23220541903666364,13
kup,58,1520,0.6525479322637755,0.1682545808088706,13
kup,59,1520,0.6945416450591565,0.24842428056018165,13
kup,60,1520,0.91230965237572,0.28127697490847037,13
kup,61,1520,0.9514897605390922,0.21951599815242231,13
kup,62,1520,0.8958145266177356,0.26798344007152924,13
kup,63,1520,0.9200841954949663,0.2510505919790892,13
kup,64,1520,0.9592422402318076,0.2583919122793961,13
kup,65,1520,0.9645501309129215,0.24113960986276972,13
kup,66,1520,1.0910746038824448,0.29627607319862515,13
kup,67,1520,1.3593133589199187,0.9721553340638135,13
kup,68,1520,1.1161552212986057,0.254376531648057,13
kup,69,1520,1.050965122330677,0.28727998122465537,13
kup,70,1520,1.0849629294279497,0.2275799289742178,13
kup,71,1520,1.1245960169618632,0.22461938532852138,13
kup,72,1520,1.378503427339957,0.23038851090918558,13
kup,73,1520,1.3926499475158407,0.16519803430816993,13
kup,74,1520,1.527413518859738,0.2000324214296218,13
kup,75,1520,1.535205647990407,0.15609319240093145,13
kup,76,1520,1.4652737380064134,0.165512956113371,13
kup,77,1520,1.4095815099720448,0.10754292961106972,13
kup,78,1520,1.7935671462261733,0.2679630297519423,13
kup,79,1520,1.7842977186665638,0.17080457124141696,13
kup,80,1520,1.9677182659335744,0.27632064511854554,13
kup,1000,1520,-8.4564347682821,0.13994004215084072,13
kup,1001,1520,-8.442702217890742,0.22898757297265088,13
kup,1002,1520,-8.36606087850423,0.29943912639194975,13
kup,1003,1520,-8.30107482175983,0.19496261682358615,13
