t_rel_s,t_epoch,phase,sweep_idx,a_cmd_us,b_cmd_us,servo1_raw,servo2_raw,voltage_v,current_a,power_w,Fx,Fy,Fz,Tx,Ty,Tz,thrust_N,torque_Nm,rpm
0.0,1784879070.94381,,,,,,,,,,-0.37163,-0.0602,0.0411,0.01326,-0.03516,-0.0052,-0.0411,-0.0052,572.0
0.02,1784879070.96381,,,,,,,,,,-0.12812,0.12595,0.04551,-0.00961,-0.01526,0.002,-0.04551,0.002,572.0
0.04,1784879070.98381,,,,,,,,,,0.10274,-0.11833,0.14206,0.0133,0.00493,-0.00434,-0.14206,-0.00434,572.0
0.06,1784879071.00381,,,,,,,,,,-0.02321,0.02155,0.01367,-0.0008,-0.00388,-0.0001,-0.01367,-0.0001,572.0
0.08,1784879071.02381,,,,,,,,,,0.08009,-0.01087,-0.00081,0.0024,-0.0023,0.00109,0.00081,0.00109,572.0
0.1,1784879071.04381,,,,,,,,,,-0.23246,0.21909,0.07075,-0.01846,-0.01993,0.00214,-0.07075,0.00214,572.0
0.12,1784879071.06381,,,,,,,,,,0.07687,0.01859,0.21196,-0.00427,0.00784,0.00047,-0.21196,0.00047,572.0
0.14,1784879071.08381,,,,,,,,,,0.05238,-0.02983,0.12401,-0.00132,0.00579,0.00219,-0.12401,0.00219,572.0
0.16,1784879071.10381,,,,,,,,,,0.10271,-0.09765,0.03894,0.01621,0.00836,-0.00315,-0.03894,-0.00315,572.0
0.18,1784879071.12381,,,,,,,,,,0.05784,-0.06453,0.12052,0.00449,0.00232,0.00171,-0.12052,0.00171,572.0
0.2,1784879071.14381,,,,,,,,,,-0.56809,0.15044,0.12997,-0.01184,-0.04154,0.00171,-0.12997,0.00171,572.0
0.22,1784879071.16381,,,,,,,,,,-0.51361,0.21598,0.01742,-0.01494,-0.03874,0.00171,-0.01742,0.00171,572.0
0.24,1784879071.18381,,,,,,,,,,-0.13561,0.14545,0.10457,-0.01108,-0.01035,0.00152,-0.10457,0.00152,572.0
0.26,1784879071.20381,,,,,,,,,,-0.06789,0.11926,0.13162,-0.01265,-0.00769,0.00185,-0.13162,0.00185,572.0
0.28,1784879071.22381,,,,,,,,,,0.18104,0.08636,0.14173,-0.01284,0.01208,0.00538,-0.14173,0.00538,572.0
0.3,1784879071.24381,,,,,,,,,,-0.12166,0.05711,0.03977,-0.00141,-0.01059,-0.00067,-0.03977,-0.00067,572.0
0.32,1784879071.26381,,,,,,,,,,-0.12096,0.09185,0.00976,-0.00561,-0.00907,-0.00115,-0.00976,-0.00115,572.0
0.34,1784879071.28381,,,,,,,,,,-0.06008,-0.04976,0.01833,0.00125,-0.00506,0.0039,-0.01833,0.0039,572.0
0.36,1784879071.30381,,,,,,,,,,-0.20884,0.08254,0.04309,-0.00937,-0.0173,0.00376,-0.04309,0.00376,572.0
0.38,1784879071.32381,,,,,,,,,,-0.2746,0.05808,0.08398,-0.00251,-0.02173,-0.0001,-0.08398,-0.0001,572.0
0.4,1784879071.34381,,,,,,,,,,-0.01891,-0.06984,0.19773,0.00139,-0.00654,-5e-05,-0.19773,-5e-05,572.0
0.42,1784879071.36381,,,,,,,,,,0.10596,-0.09331,0.09634,0.01149,0.01117,-0.00234,-0.09634,-0.00234,572.0
0.44,1784879071.38381,,,,,,,,,,0.25753,-0.09272,0.06457,0.00987,0.01808,0.00133,-0.06457,0.00133,572.0
0.46,1784879071.40381,,,,,,,,,,-0.27666,0.0498,0.06542,-0.0018,-0.02622,9e-05,-0.06542,9e-05,572.0
0.48,1784879071.42381,,,,,,,,,,0.32547,-0.06695,0.13595,0.00483,0.02222,0.00152,-0.13595,0.00152,572.0
0.5,1784879071.44381,,,,,,,,,,0.04324,0.05794,0.14044,-0.00242,0.00384,0.00052,-0.14044,0.00052,572.0
0.52,1784879071.46381,,,,,,,,,,0.08427,-0.07567,0.10236,0.01058,0.00408,-0.00086,-0.10236,-0.00086,572.0
0.54,1784879071.48381,,,,,,,,,,0.18803,-0.20314,0.20554,0.01864,0.01179,-0.00329,-0.20554,-0.00329,572.0
