phase,seq,pulse_us,theta_deg,theta_sd_deg,cross_deg,creep_dps,settled
dn,1350,1350,-6.308157435597209,0.2212933157528139,0.062016223615069976,-0.05676034169059382,True
dn,1360,1360,-5.821148806032333,0.2772770053284159,0.0589995412332961,-0.049306177675300544,True
dn,1370,1370,-5.578164370135017,0.22938391098919633,0.04185465395108031,0.01723589453768972,True
dn,1380,1380,-5.08458365357211,0.23235628643460043,0.055631435445705334,0.1168094756068828,True
dn,1390,1390,-4.91799279768835,0.22528820606349664,0.08915720924987364,-0.12227068353402572,True
dn,1400,1400,-4.548335390668097,0.22153702312186355,0.06949098123761775,-0.08736085802372122,True
dn,1410,1410,-4.386757124300372,0.22255249823758463,0.060481258312247745,-0.07721299847421415,True
dn,1420,1420,-3.8931236837704115,0.22665157950819947,0.03922474535453312,0.11388864601684232,True
dn,1430,1430,-3.575883918340806,0.22133257523607283,0.02985246449670086,0.041954462631387454,True
dn,1440,1440,-2.978589487559186,0.23913434118861482,0.02598532099158111,0.062431922907824365,True
dn,1450,1450,-2.58112790240867,0.2224103400414339,0.028758149303696256,-0.01482799898644224,True
dn,1460,1460,-2.392053678358742,0.22531720853731504,0.021800504111181965,0.2029046351560005,True
dn,1470,1470,-1.9340284217402244,0.22254202465104722,0.029893081721683586,0.142807293432457,True
dn,1480,1480,-1.5652353561411536,0.23366625750956588,-0.03745292141414677,0.12158731789066973,True
dn,1490,1490,-0.7140796371335746,8.005409904812122,0.3445448082717891,1.3134515668292293,False
dn,1500,1500,-0.6621880824565439,0.21814558528823902,0.04748969851407651,0.014921472002738878,True
dn,1510,1510,-0.27753085561010926,1.9511570142714947,0.14959912495549701,-0.23006903915109167,True
dn,1520,1520,0.1422448346297676,0.21429175643608608,-0.030634275248964178,0.27478650376376873,True
dn,1530,1530,0.4084429959013302,0.22263096706840324,-0.04121645943337296,-0.08372169279584264,True
dn,1540,1540,0.8620513194326103,0.2197910087696575,-0.040589097340524405,-0.026321602636905736,True
dn,1550,1550,1.2397444543913323,0.22347757514211852,-0.008690536227403243,-0.012428391866406617,True
dn,1560,1560,1.6110802669191309,0.2518932330093438,-0.051770306691036355,-0.05842146222547419,True
dn,1570,1570,2.183273276896028,3.8493395599639117,0.1666562456480293,-0.9290751259342463,False
dn,1580,1580,2.30918231222086,0.2305172790107244,-0.07645335366861752,-0.03411630359805767,True
dn,1590,1590,2.7040130312486075,0.227578146372567,-0.04211159474565954,0.04123398426002081,True
dn,1600,1600,3.0140956919845174,0.23004048368641725,-0.07068357654430832,-0.16586418561394833,True
dn,1610,1610,3.326626433565314,0.22130560888849302,-0.04919007718803988,-0.09219459338277018,True
dn,1620,1620,3.752157537715426,0.2383268506435999,-0.06761494805724072,0.036568238916799604,True
dn,1630,1630,4.0750194138073255,0.23056564480115782,-0.11712397188255448,-0.0156831535392172,True
dn,1640,1640,4.470950721006901,0.22937265634057377,-0.12321602500362532,0.051160170025063095,True
dn,1650,1650,4.8377509141805595,0.22513444743535688,-0.1350371184727115,-0.06317656581268476,True
dn,1660,1660,5.20497182253864,0.21803699501428622,-0.1641895494828928,0.027150059341962605,True
dn,1670,1670,5.478613746789697,0.22938240444849534,-0.22426638239302946,-0.07674043201479992,True
dn,1680,1680,5.8115778886757665,0.22115540348793264,-0.22780779120972192,-0.053417665159178576,True
dn,1690,1690,6.194768465237672,0.23629480560103902,-0.2367236735044812,-0.01880844054439141,True
dn,1700,1700,6.531661248988805,0.24081428417346576,-0.25914593213696563,-0.04225775817283923,True
dn,1710,1710,6.959308532184296,0.23487875041820552,-0.27950626314111887,0.06661472679361088,True
dn,1720,1720,7.244600748968108,0.2251980076929336,-0.3112911284350217,0.015738988719479013,True
dn,1730,1730,7.5374705613055895,0.23435125650676572,-0.3113710647054354,-0.005578563082021216,True
dn,1740,1740,7.920484228456857,0.2853662785979201,-0.369787483029331,-0.1471223892061875,True
dn,1750,1750,8.240311247669263,0.28027637083421575,-0.36155822190881254,-0.06099401988138964,True
dn,1760,1760,8.605064028267135,0.23900632948014805,-0.3490083526506657,0.11860682317488962,True
