t_mono,dev_t,seg_id,voltage_v,current_a,remaining_pct
342844.119426,,0,12.6,0.0,100
342844.224833,,0,12.6,0.0,100
342844.330264,,0,12.6,0.0,100
342844.435193,,0,12.6,0.0,100
342844.540683,,0,12.6,0.0,100
342844.645795,,0,12.6,0.0,100
342844.751056,,0,12.6,0.0,100
342844.856412,,0,12.6,0.0,100
342844.961788,,0,12.6,0.0,100
342845.066995,,0,12.6,0.0,100
342845.171899,,0,12.6,0.0,100
342845.225041,,0,12.6,0.0,100
342845.32989,,0,12.6,0.0,100
342845.435106,,0,12.6,0.0,100
342845.540428,,0,12.6,0.0,100
342845.645633,,0,12.6,0.0,100
342845.750944,,0,12.6,0.0,100
342845.856198,,0,12.6,0.0,100
342845.961726,,0,12.6,0.0,100
342846.067177,,0,12.6,0.0,100
342846.119795,,0,12.6,0.0,100
342846.224882,,0,12.6,0.0,100
342846.330226,,0,12.6,0.0,100
342846.43531,,0,12.6,0.0,100
342846.54079,,0,12.6,0.0,100
342846.646027,,0,12.6,0.0,100
342846.751485,,0,12.6,0.0,100
342846.856302,,0,12.6,0.0,100
342846.961597,,0,12.6,0.0,100
342847.067045,,0,12.6,0.0,100
342847.119557,,0,12.6,0.0,100
342847.225197,,0,12.6,0.0,100
342847.330389,,0,12.6,0.0,100
342847.435165,,0,12.6,0.0,100
342847.540449,,0,12.6,0.0,100
342847.645986,,0,12.6,0.0,100
342847.751032,,0,12.6,0.0,100
342847.856206,,0,12.6,0.0,100
342847.962186,,0,12.6,0.0,100
342848.066844,,0,12.6,0.0,100
342848.11976,,0,12.6,0.0,100
342848.224541,,0,12.6,0.0,100
342848.329992,,0,12.6,0.0,100
342848.435493,,0,12.6,0.0,100
342848.540635,,0,12.6,0.0,100
342848.645905,,0,12.6,0.0,100
342848.750833,,0,12.6,0.0,100
342848.856393,,0,12.6,0.0,100
342848.961819,,0,12.6,0.0,100
342849.066935,,0,12.6,0.0,100
342849.172494,,0,12.6,0.0,100
342849.224552,,0,12.6,0.0,100
342849.330003,,0,12.6,0.0,100
342849.435426,,0,12.6,0.0,100
342849.540754,,0,12.6,0.0,100
342849.646033,,0,12.6,0.0,100
342849.751154,,0,12.6,0.0,100
342849.856591,,0,12.6,0.0,100
342849.962103,,0,12.6,0.0,100
342850.067749,,0,12.6,0.0,100
342850.119617,,0,12.6,0.0,100
342850.224907,,0,12.6,0.0,100
342850.329997,,0,12.6,0.0,100
342850.435563,,0,12.6,0.0,100
342850.54075,,0,12.6,0.0,100
342850.645817,,0,12.6,0.0,100
342850.751004,,0,12.6,0.0,100
342850.856531,,0,12.6,0.0,100
342850.961359,,0,12.6,0.0,100
342851.067071,,0,12.6,0.0,100
342851.119467,,0,12.6,0.0,100
342851.224513,,0,12.6,0.0,100
342851.330093,,0,12.6,0.0,100
342851.435216,,0,12.6,0.0,100
342851.540533,,0,12.6,0.0,100
342851.645742,,0,12.6,0.0,100
342851.751087,,0,12.6,0.0,100
342851.856674,,0,12.6,0.0,100
342851.961653,,0,12.6,0.0,100
342852.066736,,0,12.6,0.0,100
342852.119441,,0,12.6,0.0,100
342852.22496,,0,12.6,0.0,100
342852.329884,,0,12.6,0.0,100
342852.435383,,0,12.6,0.0,100
342852.540782,,0,12.6,0.0,100
342852.645964,,0,12.6,0.0,100
342852.751304,,0,12.6,0.0,100
342852.856784,,0,12.6,0.0,100
342852.961821,,0,12.6,0.0,100
342853.067429,,0,12.6,0.0,100
342853.172,,0,12.6,0.0,100
342853.224971,,0,12.6,0.0,100
342853.33018,,0,12.6,0.0,100
342853.435605,,0,12.6,0.0,100
342853.540588,,0,12.6,0.0,100
342853.645634,,0,12.6,0.0,100
342853.75115,,0,12.6,0.0,100
342853.856306,,0,12.6,0.0,100
342853.961807,,0,12.6,0.0,100
342854.066635,,0,12.6,0.0,100
342854.119737,,0,12.6,0.0,100
342857.645771,,2,12.6,0.0,100
342857.750853,,2,12.6,0.0,100
342857.856504,,2,12.6,0.0,100
342857.961684,,2,12.6,0.0,100
342858.067001,,2,12.6,0.0,100
342858.119514,,2,12.6,0.0,100
342858.224985,,2,12.6,0.0,100
342858.329851,,2,12.6,0.0,100
342858.436682,,2,12.6,0.0,100
342858.540529,,2,12.6,0.0,100
342858.645572,,2,12.6,0.0,100
342858.751446,,2,12.6,0.0,100
342858.856581,,2,12.6,0.0,100
342858.961946,,2,12.6,0.0,100
342859.066805,,2,12.6,0.0,100
342859.119826,,2,12.6,0.0,100
342859.224569,,2,12.6,0.0,100
342859.329966,,2,12.6,0.0,100
342859.435168,,2,12.6,0.0,100
342859.540955,,2,12.6,0.0,100
342859.645556,,2,12.6,0.0,100
342859.750985,,2,12.6,0.0,100
342859.856177,,2,12.6,0.0,100
342859.961913,,2,12.6,0.0,100
342860.067093,,2,12.6,0.0,100
342860.119793,,2,12.6,0.0,100
342860.224582,,2,12.6,0.0,100
342860.330146,,2,12.6,0.0,100
342860.435466,,2,12.6,0.0,100
342860.540733,,2,12.6,0.0,100
342860.646011,,2,12.6,0.0,100
342860.751107,,2,12.6,0.0,100
342860.856324,,2,12.6,0.0,100
342860.961363,,2,12.6,0.0,100
342861.066869,,2,12.6,0.0,100
342861.119503,,2,12.6,0.0,100
342861.224849,,2,12.6,0.0,100
342861.330022,,2,12.6,0.0,100
342861.435286,,2,12.6,0.0,100
342861.540581,,2,12.6,0.0,100
342861.64565,,2,12.6,0.0,100
342861.751258,,2,12.6,0.0,100
342861.856334,,2,12.6,0.0,100
342861.961698,,2,12.6,0.0,100
342862.066661,,2,12.6,0.0,100
342862.11958,,2,12.6,0.0,100
342862.224989,,2,12.6,0.0,100
342862.33029,,2,12.6,0.0,100
342862.435101,,2,12.6,0.0,100
342862.540541,,2,12.6,0.0,100
342862.645594,,2,12.6,0.0,100
342862.750904,,2,12.6,0.0,100
342862.856384,,2,12.6,0.0,100
342862.961519,,2,12.6,0.0,100
342863.066872,,2,12.6,0.0,100
342863.119721,,2,12.6,0.0,100
342863.224871,,2,12.6,0.0,100
342863.330036,,2,12.6,0.0,100
342863.435409,,2,12.6,0.0,100
342863.540492,,2,12.6,0.0,100
342863.645792,,2,12.6,0.0,100
342863.751223,,2,12.6,0.0,100
342863.856574,,2,12.6,0.0,100
342863.961497,,2,12.6,0.0,100
342864.067124,,2,12.6,0.0,100
342864.11945,,2,12.6,0.0,100
342864.224995,,2,12.6,0.0,100
342864.330177,,2,12.6,0.0,100
342864.435372,,2,12.6,0.0,100
342864.540522,,2,12.6,0.0,100
342864.64604,,2,12.6,0.0,100
342864.751073,,2,12.6,0.0,100
342864.856115,,2,12.6,0.0,100
342864.961841,,2,12.6,0.0,100
342865.067053,,2,12.6,0.0,100
342865.119657,,2,12.6,0.0,100
342865.224823,,2,12.6,0.0,100
