run,phase,a_us,b_us,n,thrust_N,thrust_std,torque_Nm,voltage_V,current_A
A1000_B1000-2000_2026-07-31_015904,A1000_B1000,1000,1000,151,0.009811099337748447,0.0839489518480181,0.0001612582781456712,11.939432432432433,0.0
A1000_B1000-2000_2026-07-31_015904,A1000_B1100,1000,1100,148,0.4223462702702704,0.09429808935860637,0.007289189189189165,11.929782312925171,0.00027210884353741496
A1000_B1000-2000_2026-07-31_015904,A1000_B1200,1000,1200,151,1.2501488476821192,0.08068991413357735,0.020220860927152296,11.902657718120807,0.24006711409395975
A1000_B1000-2000_2026-07-31_015904,A1000_B1300,1000,1300,151,2.095168715231788,0.161331108293545,0.03381026490066223,11.873113333333334,1.1627999999999998
A1000_B1000-2000_2026-07-31_015904,A1000_B1400,1000,1400,151,2.9194468609271524,0.08323155412009055,0.04745927152317878,11.824290540540542,2.2692567567567568
A1000_B1000-2000_2026-07-31_015904,A1000_B1500,1000,1500,151,3.8685461986754968,0.14147495544853808,0.061571854304635736,11.779140939597315,3.556442953020134
A1000_B1000-2000_2026-07-31_015904,A1000_B1600,1000,1600,148,4.884481405405405,0.11966630618368082,0.0789716216216216,11.708871621621622,5.1275
A1000_B1000-2000_2026-07-31_015904,A1000_B1700,1000,1700,151,6.257638913907285,0.09730450437488286,0.10231357615894038,11.611906666666668,7.5696
A1000_B1000-2000_2026-07-31_015904,A1000_B1800,1000,1800,151,7.95823494039735,0.4530556899340948,0.12305529801324501,11.486166666666666,10.832933333333333
A1000_B1000-2000_2026-07-31_015904,A1000_B1900,1000,1900,152,9.702832578947369,0.43449082415225637,0.15174473684210524,11.339167785234899,14.856510067114094
A1000_B1000-2000_2026-07-31_015904,A1000_B2000,1000,2000,149,11.282465261744967,0.32882072615910934,0.17666879194630872,11.179344594594594,19.002905405405404
A1100_B1000-2000_2026-07-31_021029,A1100_B1000,1100,1000,151,0.33728688741721796,0.3669348141617993,-0.007527284768211949,11.944973154362415,0.00087248322147651
