# selected servo A
#META fw=tvc_char 2.1 test=B axis=0 servo_hz=333 neutral_us=1520 pulse_min=500 pulse_max=2500 win_lo=1370 win_hi=1690 pin_a=18 pin_b=19
#META imu_addr=0x69 who_am_i=0xEA gyro_cfg1=0x3F accel_cfg=0x39 gyro_div=0 gyro_lsb_per_dps=16.4000 acc_lsb_per_g=16384.0
#META i2c_err_at_start=0 buffered=1
#META imu_alive=1 imu_pass=0 imu_rate_hz=1907 g_mag=1.0454
#META gyro_bias_dps=2.3306,1.3877,-1.7717 gyro_noise_dps=0.1920,0.1828,0.1872 acc_noise_g=0.00390,0.00427,0.00414
#META limits_source=user axis_lo=1370 axis_hi=1690 axis_center=1520 axis_half=150
#WARN IMU health check did not pass -- see the health block above; this run is suspect
#META log_hz=1000 pre_ms=200 post_ms=2000 n=2200 arm_ms=1800 center_us=1520 half_travel_us=150
#COLS rec,t_us,phase,seq,axis,cmd_a,cmd_b,ax,ay,az,gx,gy,gz,flags
S,70001,pre,0,0,1527,1520,-408,-1008,-17168,41,24,-27,0
S,71001,pre,0,0,1527,1520,-328,-856,-17008,42,27,-27,0
S,72001,pre,0,0,1527,1520,-376,-992,-17160,43,27,-30,0
S,73001,pre,0,0,1527,1520,-352,-880,-17040,43,22,-26,0
S,74001,pre,0,0,1527,1520,-352,-1000,-17032,46,27,-33,0
S,75001,pre,0,0,1527,1520,-520,-928,-17056,41,26,-36,0
S,76001,pre,0,0,1527,1520,-368,-928,-17040,38,25,-30,0
S,77001,pre,0,0,1527,1520,-336,-904,-17088,42,22,-22,0
S,78001,pre,0,0,1527,1520,-488,-968,-17056,38,21,-30,0
S,79001,pre,0,0,1527,1520,-360,-976,-17168,42,22,-27,0
S,80001,pre,0,0,1527,1520,-384,-1096,-17104,36,25,-33,0
S,81001,pre,0,0,1527,1520,-392,-912,-17144,41,25,-27,0
S,82001,pre,0,0,1527,1520,-336,-984,-17144,41,26,-34,0
S,83001,pre,0,0,1527,1520,-344,-864,-17080,38,19,-31,0
S,84001,pre,0,0,1527,1520,-352,-960,-17056,41,24,-28,0
S,85001,pre,0,0,1527,1520,-344,-1000,-17240,37,24,-32,0
S,86001,pre,0,0,1527,1520,-360,-904,-17128,40,23,-24,0
S,87001,pre,0,0,1527,1520,-352,-864,-17048,41,16,-28,0
S,88001,pre,0,0,1527,1520,-456,-1080,-17072,39,23,-30,0
