seq,kind,amp_us,A_final_deg,A_fit_deg,td_ms,td_se_ms,tau_ms,wn_rad_s,zeta,overshoot_pct,td_threshold_ms,slew_dps,slew_per_deg,resid_pct_of_amp,settled,drift_slope_dps_s,pre_noise_sd_dps
0,2nd,0,-0.05287129870843839,-0.05023572294477099,1.737761528225587e-27,3.4234008846707566,,22.212734386783715,0.9989999999999999,6.391708161794505,38.994,1.3501578568737769,25.536687954636687,7.625405566384496,YES,-0.013606021591337728,0.18102390031304355
1,2nd,0,0.26254491588643225,0.26169151853968275,39.96740896149141,0.30152501633009604,,66.62680028610919,0.566549969303516,16.374735909018117,32.99399999999999,7.382737611779249,28.119903167246108,2.401629786534504,YES,0.007187741944629088,0.19084439333177936
2,2nd,0,-0.6986167008085696,-0.6986211625402285,31.858188827003158,0.17870346497175918,,45.450802547453634,0.34078593457987627,39.6723499205063,18.99400000000001,18.884671406935187,27.031520124094257,1.898502390400918,YES,0.004418108788891162,0.18388029354745364
3,2nd,0,0.9913819404377288,0.9972932880423205,28.047663395632743,0.27940118697258526,,39.19774723722109,0.6888618780701469,9.874699354314984,15.99500000000001,15.67109969379069,15.807328189649459,1.3856418690580659,YES,-0.00859599168878002,0.168565841951487
4,2nd,0,-2.061102607327445,-2.0567013451969967,22.557282930926768,0.1466932344156096,,44.67632934639559,0.4146179997922364,26.324065027208277,8.994000000000002,47.85653337317808,23.21889905094626,1.3009419572544008,YES,0.0031841509488868165,0.18134202290753004
5,2nd,0,2.158974296424169,2.1589347513787667,26.40664514072481,0.15920516024373535,,41.5713587096356,0.49183103152482377,19.666926798661795,11.994000000000005,44.39424407612347,20.562655215327045,1.1606411189965415,YES,-0.0038348512266581283,0.18278128405966912
6,2nd,0,-4.327279597850905,-4.324561157119976,30.344249232414253,0.1374304920599237,,45.89462126065552,0.3893545619781726,29.355778116540094,12.994000000000005,98.50505851673007,22.763737884108878,1.3080390091932925,YES,0.007161745345021696,0.16282232258525198
7,2nd,0,4.73978626787487,4.737485370325545,26.18278506783955,0.23873315307323467,,42.605986757893284,0.38413419167904855,25.081527279480188,6.994,99.50345539022261,20.99323677623041,2.217017865660588,YES,-0.01169840770031267,0.17491676039903245
8,2nd,0,-8.218958465600851,-8.178318190041491,32.7686615879607,0.24271690940929552,,65.09102584403017,0.3394345664466511,22.790436597058747,7.9940000000000015,233.40631131082225,28.398526685310237,3.0820438227332607,YES,-0.0024191227011669744,0.17928283182654037
9,2nd,0,9.043827163552436,8.996268014995023,33.40397517289919,0.30007406917771307,,57.59304544684901,0.28913200107601567,26.357139716513018,8.995000000000003,228.9477639351497,25.315362599788838,4.061277469307809,YES,-0.009810917473533375,0.15512349502906883
