t_epoch,phase,sweep_idx,a_cmd_us,b_cmd_us,a_cmd_norm,b_cmd_norm,t_stm_ms,Fx_raw,Fy_raw,Fz_raw,Tx_raw,Ty_raw,Tz_raw,Fx,Fy,Fz,Tx,Ty,Tz,force_count,torque_count
1785429036.9963083,idle_pre,0,1000,1000,0.0,0.0,2434600,-1.7550000000000001,-0.929,0.034,0.075,-0.092,-0.007,0.1614698795180718,0.03324899598393627,0.05509638554216868,-0.0020963855421686495,0.015128514056224923,0.0025742971887550018,21,20
1785429036.996324,idle_pre,0,1000,1000,0.0,0.0,2434620,-1.925,-1.0010000000000001,-0.026000000000000002,0.077,-0.109,-0.009000000000000001,-0.008530120481928138,-0.038751004016063795,-0.0049036144578313255,-9.63855421686477e-05,-0.001871485943775078,0.0005742971887550009,20,21
1785429037.0464072,idle_pre,0,1000,1000,0.0,0.0,2434640,-1.928,-0.872,-0.02,0.07100000000000001,-0.105,-0.011,-0.01153012048192803,0.09024899598393632,0.0010963855421686763,-0.006096385542168639,0.0021285140562249255,-0.0014257028112449974,19,19
1785429037.0464225,idle_pre,0,1000,1000,0.0,0.0,2434660,-1.871,-0.985,-0.057,0.081,-0.099,-0.009000000000000001,0.04546987951807191,-0.02275100401606367,-0.03590361445783133,0.003903614457831356,0.008128514056224917,0.0005742971887550009,20,20
1785429037.0464349,idle_pre,0,1000,1000,0.0,0.0,2434680,-1.982,-0.903,0.045,0.07100000000000001,-0.113,-0.009000000000000001,-0.06553012048192808,0.05924899598393629,0.06609638554216868,-0.006096385542168639,-0.005871485943775082,0.0005742971887550009,21,21
1785429037.0965166,idle_pre,0,1000,1000,0.0,0.0,2434700,-2.073,-0.775,-0.018000000000000002,0.061,-0.116,-0.01,-0.15653012048192805,0.1872489959839363,0.0030963855421686746,-0.016096385542168648,-0.008871485943775084,-0.0004257028112449983,19,19
1785429037.0965316,idle_pre,0,1000,1000,0.0,0.0,2434720,-1.598,-0.974,0.08600000000000001,0.083,-0.078,-0.01,0.3184698795180718,-0.01175100401606366,0.10709638554216869,0.005903614457831358,0.029128514056224922,-0.0004257028112449983,20,20
1785429037.1466765,idle_pre,0,1000,1000,0.0,0.0,2434740,-1.713,-1.043,-0.11,0.081,-0.096,-0.007,0.20346987951807183,-0.08075100401606361,-0.08890361445783132,0.003903614457831356,0.01112851405622492,0.0025742971887550018,21,21
1785429037.1467052,idle_pre,0,1000,1000,0.0,0.0,2434760,-1.7910000000000001,-1.024,0.005,0.083,-0.096,-0.01,0.12546987951807176,-0.061751004016063704,0.026096385542168678,0.005903614457831358,0.01112851405622492,-0.0004257028112449983,19,19
1785429037.1467195,idle_pre,0,1000,1000,0.0,0.0,2434780,-1.743,-1.052,0.109,0.08,-0.09,-0.008,0.1734698795180718,-0.08975100401606373,0.13009638554216868,0.002903614457831355,0.017128514056224925,0.0015742971887550018,20,20
1785429037.1968334,idle_pre,0,1000,1000,0.0,0.0,2434800,-2.1510000000000002,-0.715,-0.061,0.057,-0.124,-0.007,-0.23453012048192834,0.24724899598393635,-0.03990361445783132,-0.020096385542168645,-0.016871485943775077,0.0025742971887550018,21,20
1785429037.1968532,idle_pre,0,1000,1000,0.0,0.0,2434820,-1.836,-1.04,-0.046,0.084,-0.105,-0.013000000000000001,0.08046987951807183,-0.07775100401606372,-0.024903614457831322,0.0069036144578313585,0.0021285140562249255,-0.003425702811244999,19,20
1785429037.2469556,idle_pre,0,1000,1000,0.0,0.0,2434840,-2.007,-0.6970000000000001,-0.006,0.059000000000000004,-0.113,-0.012,-0.09053012048192821,0.26524899598393625,0.015096385542168677,-0.018096385542168643,-0.005871485943775082,-0.0024257028112449983,20,20
1785429037.246975,idle_pre,0,1000,1000,0.0,0.0,2434860,-1.903,-1.18,-0.09,0.099,-0.112,-0.015,0.013469879518071881,-0.21775100401606362,-0.06890361445783132,0.021903614457831358,-0.004871485943775081,-0.0054257028112449975,20,20
1785429037.2469885,idle_pre,0,1000,1000,0.0,0.0,2434880,-2.189,-1.077,-0.08600000000000001,0.079,-0.129,-0.01,-0.27253012048192815,-0.11475100401606364,-0.06490361445783133,0.001903614457831354,-0.021871485943775082,-0.0004257028112449983,19,19
1785429037.2971447,idle_pre,0,1000,1000,0.0,0.0,2434900,-1.778,-1.09,-0.046,0.08600000000000001,-0.1,-0.012,0.13846987951807188,-0.12775100401606376,-0.024903614457831322,0.00890361445783136,0.007128514056224916,-0.0024257028112449983,21,21
1785429037.297169,idle_pre,0,1000,1000,0.0,0.0,2434920,-1.939,-0.8260000000000001,0.028,0.066,-0.108,-0.008,-0.02253012048192815,0.13624899598393625,0.04909638554216868,-0.011096385542168644,-0.0008714859437750772,0.0015742971887550018,20,20
1785429037.3472784,idle_pre,0,1000,1000,0.0,0.0,2434940,-2.013,-0.915,-0.04,0.07,-0.11800000000000001,-0.006,-0.096530120481928,0.04724899598393628,-0.018903614457831324,-0.00709638554216864,-0.010871485943775086,0.003574297188755002,19,19
1785429037.3472993,idle_pre,0,1000,1000,0.0,0.0,2434960,-2.119,-0.838,-0.189,0.07100000000000001,-0.11800000000000001,-0.012,-0.2025301204819283,0.12424899598393635,-0.16790361445783133,-0.006096385542168639,-0.010871485943775086,-0.0024257028112449983,20,20
1785429037.3473132,idle_pre,0,1000,1000,0.0,0.0,2434980,-1.969,-1.072,0.007,0.088,-0.117,-0.011,-0.05253012048192818,-0.10975100401606375,0.028096385542168676,0.010903614457831348,-0.009871485943775085,-0.0014257028112449974,21,21
1785429037.3974123,idle_pre,0,1000,1000,0.0,0.0,2435000,-1.8880000000000001,-1.107,-0.157,0.085,-0.105,-0.011,0.028469879518071783,-0.14475100401606367,-0.13590361445783133,0.00790361445783136,0.0021285140562249255,-0.0014257028112449974,19,19
1785429037.397431,idle_pre,0,1000,1000,0.0,0.0,2435020,-2.012,-1.051,0.046,0.082,-0.11,-0.009000000000000001,-0.0955301204819281,-0.08875100401606362,0.06709638554216868,0.004903614457831357,-0.002871485943775079,0.0005742971887550009,20,20
1785429037.4475582,idle_pre,0,1000,1000,0.0,0.0,2435040,-2.028,-0.935,-0.08600000000000001,0.079,-0.115,-0.013000000000000001,-0.11153012048192812,0.027248995983936264,-0.06490361445783133,0.001903614457831354,-0.007871485943775083,-0.003425702811244999,21,21
1785429037.4475813,idle_pre,0,1000,1000,0.0,0.0,2435060,-2.007,-1.0030000000000001,0.082,0.077,-0.114,-0.01,-0.09053012048192821,-0.040751004016063797,0.10309638554216868,-9.63855421686477e-05,-0.0068714859437750825,-0.0004257028112449983,19,19
1785429037.4475951,idle_pre,0,1000,1000,0.0,0.0,2435080,-1.7710000000000001,-0.981,0.099,0.078,-0.1,-0.011,0.14546987951807178,-0.018751004016063666,0.12009638554216868,0.0009036144578313532,0.007128514056224916,-0.0014257028112449974,20,20
1785429037.4977024,idle_pre,0,1000,1000,0.0,0.0,2435100,-1.895,-1.055,-0.06,0.08700000000000001,-0.10300000000000001,-0.012,0.021469879518071888,-0.09275100401606362,-0.03890361445783132,0.009903614457831361,0.004128514056224913,-0.0024257028112449983,21,21
1785429037.4977226,idle_pre,0,1000,1000,0.0,0.0,2435120,-1.929,-0.971,-0.139,0.079,-0.111,-0.01,-0.012530120481928142,-0.008751004016063657,-0.11790361445783133,0.001903614457831354,-0.00387148594377508,-0.0004257028112449983,19,19
1785429037.5478206,idle_pre,0,1000,1000,0.0,0.0,2435140,-1.747,-1.088,-0.129,0.088,-0.096,-0.012,0.1694698795180718,-0.12575100401606376,-0.10790361445783132,0.010903614457831348,0.01112851405622492,-0.0024257028112449983,20,20
1785429037.5478404,idle_pre,0,1000,1000,0.0,0.0,2435160,-1.952,-0.8220000000000001,0.02,0.066,-0.10200000000000001,-0.01,-0.03553012048192805,0.14024899598393625,0.04109638554216868,-0.011096385542168644,0.005128514056224914,-0.0004257028112449983,20,20
1785429037.5478537,idle_pre,0,1000,1000,0.0,0.0,2435180,-2.0060000000000002,-0.77,-0.075,0.064,-0.112,-0.007,-0.08953012048192832,0.1922489959839363,-0.05390361445783132,-0.013096385542168645,-0.004871485943775081,0.0025742971887550018,20,19
1785429037.5979474,idle_pre,0,1000,1000,0.0,0.0,2435200,-1.8940000000000001,-1.053,-0.23500000000000001,0.084,-0.101,-0.01,0.022469879518071778,-0.09075100401606362,-0.21390361445783135,0.0069036144578313585,0.006128514056224915,-0.0004257028112449983,20,21
1785429037.5979662,idle_pre,0,1000,1000,0.0,0.0,2435220,-2.001,-1.002,0.077,0.083,-0.116,-0.01,-0.08453012048192798,-0.039751004016063685,0.09809638554216868,0.005903614457831358,-0.008871485943775084,-0.0004257028112449983,20,20
1785429037.5979793,idle_pre,0,1000,1000,0.0,0.0,2435240,-1.96,-0.851,0.041,0.07100000000000001,-0.106,-0.008,-0.04353012048192806,0.11124899598393634,0.062096385542168675,-0.006096385542168639,0.0011285140562249246,0.0015742971887550018,19,19
