rec,t_us,phase,seq,axis,gimbal,cmd_outer,cmd_inner,ax,ay,az,gx,gy,gz,flags,packet_seq,jitter_us
S,79968,health,0,-1,none,1520,1520,-344,-656,-17056,32,16,-27,0,72,11
S,80967,health,0,-1,none,1520,1520,-320,-624,-17000,31,16,-27,0,73,10
S,81966,health,0,-1,none,1520,1520,-232,-480,-17088,35,20,-25,0,74,9
S,82965,health,0,-1,none,1520,1520,-256,-536,-16936,30,23,-31,0,75,8
S,83964,health,0,-1,none,1520,1520,-328,-480,-16968,36,18,-31,0,76,7
S,84963,health,0,-1,none,1520,1520,-248,-688,-16904,34,20,-28,0,77,6
S,85962,health,0,-1,none,1520,1520,-312,-640,-16912,27,28,-20,0,78,5
S,86961,health,0,-1,none,1520,1520,-432,-680,-17008,30,14,-26,0,79,4
S,87960,health,0,-1,none,1520,1520,-320,-592,-17032,35,13,-21,0,80,3
S,88960,health,0,-1,none,1520,1520,-400,-696,-17048,36,22,-25,0,81,3
S,89960,health,0,-1,none,1520,1520,-216,-552,-17024,35,23,-27,0,82,3
S,90960,health,0,-1,none,1520,1520,-352,-624,-17072,35,16,-30,0,83,3
S,91959,health,0,-1,none,1520,1520,-280,-592,-17064,38,16,-34,0,84,2
S,92958,health,0,-1,none,1520,1520,-368,-576,-17104,36,18,-33,0,85,1
S,93958,health,0,-1,none,1520,1520,-336,-544,-17096,28,17,-25,0,86,1
S,94968,health,0,-1,none,1520,1520,-320,-536,-17104,29,21,-27,0,87,11
S,95967,health,0,-1,none,1520,1520,-264,-584,-17000,33,17,-25,0,88,10
S,96966,health,0,-1,none,1520,1520,-392,-608,-17152,37,19,-20,0,89,9
S,97965,health,0,-1,none,1520,1520,-320,-584,-16960,36,22,-24,0,90,8
S,98964,health,0,-1,none,1520,1520,-312,-576,-16984,33,24,-25,0,91,7
S,99963,health,0,-1,none,1520,1520,-304,-672,-17088,31,15,-24,0,92,6
S,100962,health,0,-1,none,1520,1520,-360,-624,-17048,32,23,-23,0,93,5
S,101961,health,0,-1,none,1520,1520,-264,-544,-17032,32,21,-29,0,94,4
S,102960,health,0,-1,none,1520,1520,-248,-640,-17008,34,20,-27,0,95,3
S,103960,health,0,-1,none,1520,1520,-288,-640,-16952,35,18,-30,0,96,3
S,104960,health,0,-1,none,1520,1520,-320,-624,-17216,32,21,-26,0,97,3
S,105960,health,0,-1,none,1520,1520,-376,-512,-17112,30,26,-23,0,98,3
S,106959,health,0,-1,none,1520,1520,-336,-576,-17080,32,18,-26,0,99,2
S,107959,health,0,-1,none,1520,1520,-344,-560,-17128,37,21,-27,0,100,2
S,108958,health,0,-1,none,1520,1520,-312,-672,-17168,30,20,-24,0,101,1
S,109968,health,0,-1,none,1520,1520,-264,-656,-17040,37,18,-23,0,102,11
S,110967,health,0,-1,none,1520,1520,-200,-600,-16944,37,23,-23,0,103,10
S,111966,health,0,-1,none,1520,1520,-312,-712,-17032,36,21,-31,0,104,9
S,112965,health,0,-1,none,1520,1520,-352,-584,-17000,38,15,-25,0,105,8
S,113964,health,0,-1,none,1520,1520,-288,-584,-17088,32,22,-26,0,106,7
S,114963,health,0,-1,none,1520,1520,-296,-688,-17112,30,21,-25,0,107,6
S,115962,health,0,-1,none,1520,1520,-112,-480,-17128,28,21,-28,0,108,5
S,116961,health,0,-1,none,1520,1520,-232,-664,-17072,29,18,-21,0,109,4
S,117960,health,0,-1,none,1520,1520,-336,-568,-17160,33,20,-30,0,110,3
S,118959,health,0,-1,none,1520,1520,-248,-536,-16928,35,21,-33,0,111,2
S,119959,health,0,-1,none,1520,1520,-248,-624,-17000,35,17,-25,0,112,2
S,120958,health,0,-1,none,1520,1520,-328,-512,-17008,35,20,-29,0,113,1
S,121968,health,0,-1,none,1520,1520,-168,-560,-16952,26,17,-31,0,114,11
S,122967,health,0,-1,none,1520,1520,-320,-536,-17008,31,15,-30,0,115,10
S,123966,health,0,-1,none,1520,1520,-304,-504,-17048,32,17,-27,0,116,9
S,124965,health,0,-1,none,1520,1520,-344,-600,-17104,35,21,-25,0,117,8
S,125964,health,0,-1,none,1520,1520,-288,-464,-17040,33,17,-22,0,118,7
S,126963,health,0,-1,none,1520,1520,-184,-560,-17048,32,20,-25,0,119,6
S,127962,health,0,-1,none,1520,1520,-288,-624,-17168,33,19,-26,0,120,5
S,128961,health,0,-1,none,1520,1520,-392,-616,-17024,35,19,-30,0,121,4
S,129960,health,0,-1,none,1520,1520,-328,-680,-17104,33,17,-31,0,122,3
