approach,seq,target_us,theta_deg
fromabove,1,1520,-0.5481061849373858
fromabove,3,1520,-0.24089557454585417
fromabove,5,1520,-0.11342108592702119
fromabove,7,1520,0.10514245119361618
fromabove,9,1520,0.14915629440766623
fromabove,11,1520,-0.18391497901524473
fromabove,13,1520,-0.1729018249913409
fromabove,15,1520,0.0380714394281199
fromabove,17,1520,-0.09125471789642034
fromabove,19,1520,0.12174593505884132
fromabove,21,1520,0.025033068723465134
fromabove,23,1520,-0.1974805077646266
fromabove,25,1520,-0.12096031129078284
fromabove,27,1520,0.2372116894058479
fromabove,29,1520,-0.07347853338138322
fromabove,31,1520,-0.09523809895244142
fromabove,33,1520,-0.16682701906458702
fromabove,35,1520,0.13640098078963092
fromabove,37,1520,0.1636848658737023
fromabove,39,1520,0.05488629668077749
fromabove,41,1520,-2.076511868663063
fromabove,43,1520,-2.072521109899502
fromabove,45,1520,-2.3706175398891602
fromabove,47,1520,-2.4574327886188967
fromabove,49,1520,-2.297893568432322
fromabove,51,1520,-2.161475026591995
fromabove,53,1520,-1.5329131360068629
fromabove,55,1520,-2.204809623831089
fromabove,57,1520,-1.963039318329352
fromabove,59,1520,-2.646687799592088
fromabove,61,1520,-1.5201275938724805
fromabove,63,1520,-3.657266509053362
fromabove,65,1520,-2.011616332965319
fromabove,67,1520,-2.260971972215897
fromabove,69,1520,-2.000414863730073
fromabove,71,1520,-2.2688950822938283
fromabove,73,1520,-2.009963542677055
fromabove,75,1520,-2.400834569805781
fromabove,77,1520,-1.9254338753068354
fromabove,79,1520,-2.4903780061898333
fromabove,81,1520,1.613100164894486
fromabove,83,1520,1.8028859092588079
fromabove,85,1520,1.7516310630314365
fromabove,87,1520,1.8615238006023134
fromabove,89,1520,2.1505065247578514
fromabove,91,1520,2.1142536567646304
fromabove,93,1520,1.6162661615558065
fromabove,95,1520,1.8412314700362287
fromabove,97,1520,1.9604091595268074
fromabove,99,1520,2.117392708455108
fromabove,101,1520,2.0021525387438346
fromabove,103,1520,2.1286076160052403
fromabove,105,1520,2.1505747479975055
fromabove,107,1520,2.0461580555683567
fromabove,109,1520,1.9363880081191993
fromabove,111,1520,1.7980824870598808
fromabove,113,1520,2.0449848529560652
frombelow,0,1520,-0.5543822804764474
frombelow,2,1520,0.12888900517405802
frombelow,4,1520,0.6308400064696613
frombelow,6,1520,-0.27131515715382337
frombelow,8,1520,-0.28212408080851786
frombelow,10,1520,-0.08929488301928927
frombelow,12,1520,0.5366274322099684
frombelow,14,1520,-0.17407495387575408
frombelow,16,1520,0.1868670903430342
frombelow,18,1520,1.3997550601030866
frombelow,20,1520,0.5028654702879493
frombelow,22,1520,2.0806795329609997
frombelow,24,1520,-1.3723768950371522
frombelow,26,1520,0.38077831502595955
frombelow,28,1520,1.0101262363077752
frombelow,30,1520,0.22935558379311233
frombelow,32,1520,0.6181752619912075
frombelow,34,1520,0.12127896562184048
frombelow,36,1520,0.1566341097290575
frombelow,38,1520,0.242209454520669
frombelow,40,1520,-2.3837661704912376
frombelow,42,1520,-2.0156742102534637
frombelow,44,1520,-2.067334677551416
frombelow,46,1520,-2.851004776016032
frombelow,48,1520,-2.07882487410034
frombelow,50,1520,-1.9046094966175686
frombelow,52,1520,-2.4413016160987597
frombelow,54,1520,-2.2172352140341176
frombelow,56,1520,-1.5046665663284629
frombelow,58,1520,-2.9620435800739897
frombelow,60,1520,-2.7194044780319286
frombelow,62,1520,-2.7708534942777745
frombelow,64,1520,-3.4330291649735427
frombelow,66,1520,-1.0969882798402266
frombelow,68,1520,-1.4593061582343723
frombelow,70,1520,-2.2244260426508164
frombelow,72,1520,-2.7254937814688773
frombelow,74,1520,-2.0222462395336533
frombelow,76,1520,-3.5251456906377086
frombelow,78,1520,-1.7430709610212645
frombelow,80,1520,1.6591255914826575
frombelow,82,1520,1.7253313945349362
frombelow,84,1520,1.6351779681487841
frombelow,86,1520,1.6786102680835953
frombelow,88,1520,1.472261111639385
frombelow,90,1520,1.8691771976683
frombelow,92,1520,1.799200645441971
frombelow,94,1520,1.810630531683583
frombelow,96,1520,1.8545720041813467
frombelow,98,1520,1.9585710260985523
frombelow,100,1520,1.8728502275172603
frombelow,102,1520,2.0055502887672363
frombelow,104,1520,2.086206665955099
frombelow,106,1520,1.5462253214431612
frombelow,108,1520,2.210697622605879
frombelow,110,1520,1.4528593530227596
frombelow,112,1520,2.176558160631335
